filename,decision,website
accountingone_co.png,LEAD,accountingone.co
advancedwiringservices_com.png,LEAD,advancedwiringservices.com
airbyestes_com__utm_source_google_utm_medium_organ.png,LEAD,airbyestes.com..utm.source.google.utm.medium.organ
airpesttechs_com.png,LEAD,airpesttechs.com
alphaelectricpv_com.png,LEAD,alphaelectricpv.com
amarropest_com.png,LEAD,amarropest.com
armorroofingcojax_com.png,LEAD,armorroofingcojax.com
atomelectric_org.png,LEAD,atomelectric.org
basspools_com.png,LEAD,basspools.com
beastmodelawncare_com.png,LEAD,beastmodelawncare.com
chillsonwheels_com__utm_source_google_utm_medium_o.png,LEAD,chillsonwheels.com..utm.source.google.utm.medium.o
chrr_online.png,LEAD,chrr.online
cjbassplumbing_com.png,LEAD,cjbassplumbing.com
corbellakitchens_com__utm_campaign_gmb.png,LEAD,corbellakitchens.com..utm.campaign.gmb
creeksair_com.png,LEAD,creeksair.com
danscapejax_com.png,LEAD,danscapejax.com
davidgrayonline_com.png,LEAD,davidgrayonline.com
duvallandscape_com_find_your_location_jacksonville.png,LEAD,duvallandscape.com.find.your.location.jacksonville
eliteroofleakrepair_site_location_roofing_contract.png,LEAD,eliteroofleakrepair.site.location.roofing.contract
firstcoasttax_com.png,LEAD,firstcoasttax.com
friendspestguards_site.png,LEAD,friendspestguards.site
garrisonconstructioninc_com.png,LEAD,garrisonconstructioninc.com
generalcontractorjax_com.png,LEAD,generalcontractorjax.com
hbgcpa_com.png,LEAD,hbgcpa.com
iecjax_com.png,LEAD,iecjax.com
integrityroofingsystems_com.png,LEAD,integrityroofingsystems.com
jackmeekscpa_com.png,LEAD,jackmeekscpa.com
jackndot_com.png,LEAD,jackndot.com
jacksonvilleacservice_com.png,LEAD,jacksonvilleacservice.com
jacksonvilletaxaccountants_com.png,LEAD,jacksonvilletaxaccountants.com
jaxelectricalcontracting_com.png,LEAD,jaxelectricalcontracting.com
jaxhydrojetters_com__utm_campaign_gmb.png,LEAD,jaxhydrojetters.com..utm.campaign.gmb
jaxtaxpro_com.png,LEAD,jaxtaxpro.com
jctaxation_com.png,LEAD,jctaxation.com
maidwonderfully_com.png,LEAD,maidwonderfully.com
mantisfl_com_about_us.png,LEAD,mantisfl.com.about.us
marcocompanies_com.png,LEAD,marcocompanies.com
mecojax_com.png,LEAD,mecojax.com
michaeldaviscpa_com.png,LEAD,michaeldaviscpa.com
mooreelectric_jax_com.png,LEAD,mooreelectric.jax.com
mybeachscapes_com.png,LEAD,mybeachscapes.com
naderspestraiders_com_florida_jacksonville_service.png,LEAD,naderspestraiders.com.florida.jacksonville.service
naderspestraiders_com_florida_ponte_vedra_service_.png,LEAD,naderspestraiders.com.florida.ponte.vedra.service.
naderspestraiders_com_florida_southside_jacksonvil.png,LEAD,naderspestraiders.com.florida.southside.jacksonvil
nexgenfl_com__utm_source_google_utm_medium_local_u.png,LEAD,nexgenfl.com..utm.source.google.utm.medium.local.u
nobleheatingairservices_com.png,LEAD,nobleheatingairservices.com
oceanstateac_com.png,LEAD,oceanstateac.com
oceantimepressurewashing_com.png,LEAD,oceantimepressurewashing.com
ourbookkeepers_com.png,LEAD,ourbookkeepers.com
paci_inc_com.png,LEAD,paci.inc.com
palmsair_com.png,LEAD,palmsair.com
panamaelectricinc_com.png,LEAD,panamaelectricinc.com
