city,area,industry,name,phone,website,has_website,rating,review_count,address,place_id,pipeline_stage,fake_tier,http_status,redirect_url,response_ms,has_ssl,priority_score
Jacksonville,San Marco Jacksonville FL,Electricians,Munson & Bryan Electric Co Inc,(904) 396-6689,,No,3.7,32,"3434 St Augustine Rd, Jacksonville, FL 32207, USA",ChIJvx0ffUy25YgRPgMZjtOkIxI,no_website,,,,,False,100
Jacksonville,San Marco Jacksonville FL,Electricians,Thomas Electric Co,(904) 346-0012,,No,5,1,"1322 Naldo Ave, Jacksonville, FL 32207, USA",ChIJgyJ7ZAa35YgRav4vKgFiTx8,no_website,,,,,False,100
Jacksonville,San Marco Jacksonville FL,Landscapers,Cut-N-Gro Landscaping,(786) 333-5639,,No,,0,"1205 Lasalle St, Jacksonville, FL 32207, USA",ChIJld45T6q35YgRp37AhlQ1D1I,no_website,,,,,False,100
Jacksonville,San Marco Jacksonville FL,Roofers,Chambers Family Roofing,(386) 342-4994,,No,,0,"1704 San Marco Blvd, Jacksonville, FL 32207, USA",ChIJcbraEPe35YgRa61DAFVNFOs,no_website,,,,,False,100
Jacksonville,San Marco Jacksonville FL,Remodelers,HOME RENOVATIONS JAX LLC,(904) 566-1941,https://sites.google.com/view/homerenovationsjax/home,Yes,5,133,"13163 Ranch Rd #3307, Jacksonville, FL 32218, USA",ChIJ-_VZDSW35YgRSidhZ2W4rbU,fake_B,B,,,,True,100
Jacksonville,Riverside Jacksonville FL,Landscapers,Heroic Landscapes,(904) 303-6819,,No,5,47,"718 Monte Carlo Rd, Jacksonville, FL 32216, USA",ChIJs6CJU7O15YgR08T9rXGtSzs,no_website,,,,,False,100
Jacksonville,Riverside Jacksonville FL,Accountants,The Tax Office,(904) 577-0086,,No,5,139,"6817 Southpoint Pkwy Ste 1601, Jacksonville, FL 32216, USA",ChIJySqwOwm15YgR_f2trcaPxDo,no_website,,,,,False,100
Jacksonville,Riverside Jacksonville FL,Accountants,Bussell Annette T CPA,(904) 384-3464,,No,4.8,4,"767 Stockton St, Jacksonville, FL 32204, USA",ChIJb7RRlX235YgRcJ4VmBujtbI,no_website,,,,,False,100
Jacksonville,Riverside Jacksonville FL,Pest control,A R Best Pest Control,(904) 253-8022,,No,4.5,11,"2730 College St, Jacksonville, FL 32205, USA",ChIJi8f7dnL4C4gRmIgtFji0SGs,no_website,,,,,False,100
Jacksonville,Riverside Jacksonville FL,Pest control,ProCritter Control,(904) 706-0989,,No,4.2,6,"2724 Park St, Jacksonville, FL 32205, USA",ChIJmXsF2RG05YgRvTq6kmdoFsA,no_website,,,,,False,100
