city,area,industry,name,phone,website,has_website,rating,review_count,address,place_id,pipeline_stage,fake_tier,http_status,redirect_url,response_ms,has_ssl,priority_score
Fort Lauderdale,Hallandale Beach FL,Plumbers,Total Appliance and A/C,(954) 454-6801,,No,4.3,4031,"1015 SW 10th Ave, Hallandale Beach, FL 33009, USA",ChIJbVugrG2s2YgRymJ9NN4PFyc,no_website,,,,,False,100
Fort Lauderdale,Davie FL,HVAC companies,Lord’s a/c,(786) 260-4783,,No,4.8,774,"13261 SW 7th Ct, Davie, FL 33325, USA",ChIJFyZPrUQJ2YgRPGMV4VMN6FQ,no_website,,,,,False,100
Fort Lauderdale,Lauderdale-by-the-Sea FL,HVAC companies,Dr. HVAC,(954) 800-8457,,No,4.8,373,"5441 NW 15th St, Margate, FL 33063, USA",ChIJN1Uh-tId2YgRls1TTOjo22A,no_website,,,,,False,100
Fort Lauderdale,Davie FL,Roofers,Trust My Roofer,(954) 355-1174,,No,5.0,322,"5832 Stirling Rd, Hollywood, FL 33021, USA",ChIJ37gRu2Kp2YgRo5Hyi-Xct64,no_website,,,,,False,100
Fort Lauderdale,Las Olas Fort Lauderdale FL,Pool service companies,Blue Oasis Pool & Spa Repair inc,(954) 383-1203,,No,4.9,173,"1064 NW 53rd St, Fort Lauderdale, FL 33309, USA",ChIJa0s5X30F2YgR3xkF2CAqDXY,no_website,,,,,False,100
Fort Lauderdale,Lauderdale-by-the-Sea FL,Pool service companies,Fort Lauderdale Pool Pros,(954) 388-0073,,No,4.9,162,"6222 N Federal Hwy STE 324, Fort Lauderdale, FL 33308, USA",ChIJE4KAGgwD2YgR9g8EpzLHJ5Q,no_website,,,,,False,100
Fort Lauderdale,Wilton Manors FL,Electricians,Berger Brothers Electrical Service,(754) 465-7153,,No,4.8,152,"3847 N Andrews Ave #93C, Fort Lauderdale, FL 33309, USA",ChIJ95pwA6gB2YgR18Ptg2ZAGu0,no_website,,,,,False,100
Fort Lauderdale,Hallandale Beach FL,Pool service companies,Sunny Hollywood Pool Care Pros,(954) 519-4411,,No,4.8,147,"4921 Sheridan St STE 273, Hollywood, FL 33021, USA",ChIJpzABwsGp2YgR-kAh0TrJ3cM,no_website,,,,,False,100
Fort Lauderdale,Tamarac FL,Accountants,"LBS - Leon Business Services, LLC",(561) 510-6453,,No,4.9,127,"8333 W McNab Rd Suite 114, Tamarac, FL 33321, USA",ChIJV_MclbMF2YgRyX95gTzFx7g,no_website,,,,,False,100
Fort Lauderdale,Hallandale Beach FL,Pool service companies,Ultimate LV Pool Cleaners,(954) 994-2288,,No,4.8,127,"101 N Ocean Dr STE 398, Hollywood, FL 33019, USA",ChIJ4UwbWCKr2YgRm5M5unOZnos,no_website,,,,,False,100
Fort Lauderdale,Coral Springs FL,Pool service companies,Total Pool Spa Maintenance,(954) 960-3338,,No,4.9,126,"6240 Coral Ridge Dr #336, Coral Springs, FL 33076, USA",ChIJiSnRibIR2YgRbzxLrCmwheI,no_website,,,,,False,100
Fort Lauderdale,Pompano Beach FL,Pool service companies,ABC Tropical Blue Pools LLC,(954) 388-0060,,No,4.9,123,"2900 W Sample Rd #36, Pompano Beach, FL 33073, USA",ChIJ3wgu2pId2YgRej4K4yru8_c,no_website,,,,,False,100
Fort Lauderdale,Wilton Manors FL,Accountants,NG Tax,(954) 638-4826,,No,5.0,119,"601 W Oakland Park Blvd Suite A5, Fort Lauderdale, FL 33311, USA",ChIJ6bPzTe8H2YgROV6JJ8zDKJ4,no_website,,,,,False,100
Fort Lauderdale,Deerfield Beach FL,Pool service companies,Sunny Blue Pool Service,(954) 516-1155,,No,4.9,114,"829 SE 9th St STE 415, Deerfield Beach, FL 33441, USA",ChIJ0QE2YxLj2IgRjJTnezq2l7w,no_website,,,,,False,100
Fort Lauderdale,Wilton Manors FL,HVAC companies,"Echo Air Conditioning, Corp",(954) 366-4585,,No,4.5,83,"2200 NE 12th Ave, Wilton Manors, FL 33305, USA",ChIJF-wBDYwB2YgREBJQ0Qa-mMQ,no_website,,,,,False,100
Fort Lauderdale,Pompano Beach FL,Pest control,B.R.A PEST CONTROL INC,(954) 371-4495,,No,5.0,83,"4211 NE 4th Ave, Pompano Beach, FL 33064, USA",ChIJnyzkFUcd2YgRLgSjFo-_5uU,no_website,,,,,False,100
Fort Lauderdale,Deerfield Beach FL,HVAC companies,"AIR ON THE WAY A/C SERVICES, LLC",(786) 818-7506,,No,5.0,82,"4040 NE 3rd Ave, Deerfield Beach, FL 33441, USA",ChIJQ-78O-4d2YgR4f0myAt4BLg,no_website,,,,,False,100
Fort Lauderdale,Hallandale Beach FL,Roofers,Brave Roofers,(954) 982-8935,,No,4.8,82,"501 Golden Isles Dr #2340, Hallandale Beach, FL 33009, USA",ChIJlf_dceet2YgRmhrWwpmucx0,no_website,,,,,False,100
Fort Lauderdale,Las Olas Fort Lauderdale FL,Plumbers,Acosta Family Plumbing LLC,(754) 253-5180,,No,4.8,80,"6003 NW 31st Ave #8800, Fort Lauderdale, FL 33309, USA",ChIJS8z4ibAF2YgRbIJC6tUmLZo,no_website,,,,,False,100
Fort Lauderdale,Plantation FL,Electricians,Zagros Electric LLC,(954) 258-9451,,No,4.9,73,"Plantation, FL 33317, USA",ChIJY8xOE68H2YgRhEWlNoJkpaE,no_website,,,,,False,100
Fort Lauderdale,Davie FL,Pool service companies,Cool Pools Services,(954) 588-8360,,No,4.9,69,"541 SW 167th Ave, Weston, FL 33326, USA",ChIJxx0NBBEK2YgRbq809UiAkFg,no_website,,,,,False,100
Fort Lauderdale,Pompano Beach FL,Remodelers,"MAGIC HANDS HOME SERVICES,Corp.",(954) 793-9808,,No,4.9,62,"304 SE 10th Ave Suite #D, Pompano Beach, FL 33060, USA",ChIJg3O59zsD2YgRWm6U4HhxU6o,no_website,,,,,False,100
Fort Lauderdale,Las Olas Fort Lauderdale FL,Landscapers,WS Sod & Landscaping Inc,(954) 733-3360,,No,4.0,61,"2401 NW 21st Ave, Fort Lauderdale, FL 33311, USA",ChIJsUF8LkcB2YgRuI_N_p81fjM,no_website,,,,,False,100
Fort Lauderdale,Hallandale Beach FL,Accountants,New Age Netgroup LLC,(954) 251-2300,,No,5.0,57,"409 W Hallandale Beach Blvd Suite 209, Hallandale Beach, FL 33009, USA",ChIJOXlrDcmt2YgRx-jYp-hvxYM,no_website,,,,,False,100
Fort Lauderdale,Hallandale Beach FL,Pool service companies,A1A POOLS,(954) 465-9306,,No,4.9,57,"2124 N 14th Ct, Hollywood, FL 33020, USA",ChIJr5Qw_ser2YgR3QZL_OWK1FM,no_website,,,,,False,100
Fort Lauderdale,Deerfield Beach FL,Plumbers,Superior Plumbing And Air,(561) 241-2822,,No,4.6,56,"457 Goolsby Blvd, Deerfield Beach, FL 33442, USA",ChIJb14dzjIe2YgRTUtm8tYdGKY,no_website,,,,,False,100
Fort Lauderdale,Pompano Beach FL,Remodelers,Ez Pro Construction Group,(954) 214-3513,,No,4.9,55,"1661 N Dixie Hwy Unit 1, Pompano Beach, FL 33060, USA",ChIJH0qUpy-t2YgRSMI2OcrLoR8,no_website,,,,,False,100
Fort Lauderdale,Deerfield Beach FL,HVAC companies,Elite Air Services LLC,(954) 789-3784,,No,4.8,54,"2750 SW 11th Pl N, Deerfield Beach, FL 33442, USA",ChIJB5F58y8d2YgRz5MVVDqs8B0,no_website,,,,,False,100
Fort Lauderdale,Cypress Creek Fort Lauderdale FL,Accountants,Francine Solutions LLC,(888) 592-4257,,No,5.0,53,"2950 W Cypress Creek Rd, Fort Lauderdale, FL 33309, USA",ChIJM9bwBK0D2YgREYCxliXvIuE,no_website,,,,,False,100
Fort Lauderdale,Deerfield Beach FL,Accountants,OGC Tax Pros,(954) 708-2817,,No,4.8,48,"1761 W Hillsboro Blvd Ste 408, Deerfield Beach, FL 33442, USA",ChIJNZS6YKcd2YgRLIOVe4POrUQ,no_website,,,,,False,100
Fort Lauderdale,Plantation FL,Accountants,Arrow Tax & Financial Services,(954) 590-0410,,No,5.0,40,"109 N State Rd 7 # A, Plantation, FL 33317, USA",ChIJXdt-Kk8H2YgRS1aVWxbHkf0,no_website,,,,,False,100
Fort Lauderdale,Coral Springs FL,Landscapers,Paradise Landscaping Services Inc,(954) 464-6121,,No,4.8,40,"9162 NW 37th Pl, Coral Springs, FL 33065, USA",ChIJbxfquTEb2YgRelSm7pS_2lk,no_website,,,,,False,100
