city,area,industry,name,phone,website,has_website,rating,review_count,address,place_id
Orlando,Winter Park FL,Electricians,Smartron Electric,(407) 883-2588,http://smartronelectric.com/,Yes,5,247,"2433 Lee Rd, Winter Park, FL 32789, USA",ChIJb9RaI-N654gRhpXMDRLXmJ0
Orlando,Winter Park FL,Electricians,MTK Electric Inc,(407) 538-4237,https://mtkelectric.com/,Yes,5,145,"1881 Lee Rd, Winter Park, FL 32789, USA",ChIJc837NldT54gRvtpeFB8GWMo
Orlando,Winter Park FL,Electricians,Palmer Electric Company,(407) 646-8700,https://www.palmer-electric.com/,Yes,4.3,171,"875 Jackson Ave #100, Winter Park, FL 32789, USA",ChIJ7-foMndw54gR5DNVAtFykiU
Orlando,Winter Park FL,Electricians,Percopo Electric,(407) 766-5150,,No,5,32,"7028 Betty St, Winter Park, FL 32792, USA",ChIJzVW6XDny9S8Rf1ZIJdJqXZQ
Orlando,Winter Park FL,Electricians,Solaris Electric,(386) 202-5264,https://www.solaristechnology.net/,Yes,4.7,533,"4353 Edgewater Dr #100, Orlando, FL 32804, USA",ChIJg27U7uN654gRORovFTko_1A
Orlando,Winter Park FL,Electricians,DH Electric,(407) 487-8445,https://dhelectric.pro/,Yes,4.9,72,"3499 Seagrape Dr, Winter Park, FL 32792, USA",ChIJzWwX5mUWew4RokpSK_rYLYw
Orlando,Winter Park FL,Electricians,In Phaze Electric Inc.,(407) 599-7777,https://www.inphazeelectric.com/request-an-appointment/,Yes,4.8,754,"2200 N Forsyth Rd, Orlando, FL 32807, USA",ChIJN4Wf6r-R3YgR3W1hYx7hbJM
Orlando,Winter Park FL,Electricians,Mister Sparky®,(407) 490-0091,https://www.mistersparky.com/south-orlando,Yes,4.6,853,"4301 Vineland Rd E-3, Orlando, FL 32811, USA",ChIJ_yxntrWD54gR4FD_yyHLLbA
Orlando,Winter Park FL,Electricians,All Electric Services,(407) 890-7782,https://www.allelectric.com/,Yes,4.9,1539,"104 Commerce St, Lake Mary, FL 32746, USA",ChIJd1ZIEsoT54gRhiUgRmDa2r4
Orlando,Winter Park FL,Electricians,Super Fast Electric,(407) 789-1550,https://superfastelectric.com/,Yes,5,249,"1070 Bunnell Rd B2, Altamonte Springs, FL 32714, USA",ChIJg8-zHThx54gRQ0cwoHyoqJM
