city,area,industry,name,phone,website,has_website,rating,review_count,address,place_id,pipeline_stage,fake_tier,http_status,redirect_url,response_ms,has_ssl,priority_score
Fort Lauderdale,Wilton Manors FL,Plumbers,Joe Hillman Plumbers,(954) 577-9445,https://www.joehillmanplumbers.com/,Yes,4.8,921,"2280 SW 70th Ave #2, Davie, FL 33317, USA",ChIJ4-cKNwgH2YgR5bWufAzSGZM,timeout,,timeout,,,True,90
Fort Lauderdale,Pompano Beach FL,HVAC companies,"GMC Air Conditioning Services, LLC",(954) 973-5980,https://www.gmcacservices.com/,Yes,4.7,274,"4100 N Powerline Rd Suite U5, Pompano Beach, FL 33073, USA",ChIJox2etzID2YgR7zXbg8ApKOM,timeout,,timeout,,,True,85
Fort Lauderdale,Hallandale Beach FL,Accountants,Susana Coll Taxes & Immigration Services,(954) 682-9884,https://susanacolltaxes.com/,Yes,4.8,163,"221 W Hallandale Beach Blvd Suite 208, Hallandale Beach, FL 33009, USA",ChIJuSyByXms2YgRPJl4qXyc40E,dead,,connection_error,,,True,100
Fort Lauderdale,Coral Springs FL,Accountants,KMS Financial Consulting,(954) 768-6620,http://www.kmsfinancialcpa.com/,Yes,5.0,163,"8219, 8217 W Atlantic Blvd, Coral Springs, FL 33071, USA",ChIJ4-NVQHYF2YgRU70DLdH4Vt0,ssl_error,,ssl_error,,,False,85
Fort Lauderdale,Las Olas Fort Lauderdale FL,Landscapers,Angler Lawn & Landscape,(954) 448-6394,http://www.anglerlawn.com/,Yes,4.5,154,"2435 N Dixie Hwy, Wilton Manors, FL 33305, USA",ChIJl83NK_AB2YgRHRObBfjwlAk,timeout,,timeout,,,False,80
Fort Lauderdale,Sunrise FL,Electricians,Ampi Electric,(561) 455-4863,https://www.ampi-electricinc.com/,Yes,4.8,134,"4574 Hiatus Rd, Sunrise, FL 33351, USA",ChIJfWhSxXDxr4QRsU3CQ4pcy1Y,timeout,,timeout,,,True,80
Fort Lauderdale,Sunrise FL,Pool service companies,"Coastline Pool Service, Inc",(954) 742-3316,https://sites.google.com/view/coastlinepoolservice,Yes,4.8,127,"5401 NW 102nd Ave #144, Sunrise, FL 33351, USA",ChIJmf7GJ0wP2YgR7W5J18b0K8s,fake_B,B,,,,True,100
Fort Lauderdale,Coral Springs FL,Electricians,EMB Home Services - Electrical Maintenance in Broward,(786) 308-0692,http://www.embhomeservices.com/,Yes,5.0,125,"503 Lakeview Dr, Coral Springs, FL 33071, USA",ChIJ2TWFhfAF2YgRhEb4CZ2o1qQ,dead,,503,,556.0,False,100
Fort Lauderdale,Deerfield Beach FL,Cleaning companies,Go Cleaning Maids,(954) 388-7735,https://gocleaningmaids.com/?utm_source=organicmb&utm_medium=clickmb&utm_campaign=veiopelomb&utm_id=mybusiness&utm_term=housecleaning,Yes,4.8,122,"4701 NW 4th Ave, Pompano Beach, FL 33064, USA",ChIJ29iwCDN0z6QRxjTBWj1BLZg,dead,,503,,1375.0,True,100
Fort Lauderdale,Davie FL,Pest control,Guaranteed Pest Control & Fertilization Inc.,(954) 584-5325,https://guaranteedpestcontrolfertilizationinc.blogspot.com/,Yes,4.5,115,"5071 S State Rd 7 #711, Davie, FL 33314, USA",ChIJCUTHd4ep2YgRnuWdvuj48gM,fake_B,B,,,,True,100
Fort Lauderdale,Deerfield Beach FL,HVAC companies,Best AC Services,(954) 536-5312,https://bestacservices.net/,Yes,4.9,97,"521 SW 11th Dr, Deerfield Beach, FL 33441, USA",ChIJz7b8kPtjRC4R_VsCjk1Z7WU,dead,,connection_error,,,True,98
Fort Lauderdale,Pompano Beach FL,Roofers,RJ Chambers Roofing Inc,(954) 461-7128,http://www.rjchambers.com/,Yes,5.0,75,"750 E Sample Rd, Pompano Beach, FL 33062, USA",ChIJxUp_EWPkPwgRYgJjCp9o0ws,dead,,404,https://www.rjchambers.com/,2118.0,False,98
Fort Lauderdale,Victoria Park Fort Lauderdale FL,Electricians,Lauderdale Electrical Gate Repair Fort,(754) 218-5134,https://electricalgaterepairfortlauderdale.blogspot.com/2022/01/electrical-gate-repair-fort-lauderdale.html,Yes,4.9,72,"1647 NE 3rd Ct, Fort Lauderdale, FL 33301, USA",ChIJk5LzhTAB2YgR6g4kxnzEEzE,fake_B,B,,,,True,95
Fort Lauderdale,Las Olas Fort Lauderdale FL,Pool service companies,M.A. Pool Service,(954) 822-3343,http://mapools.pro/,Yes,4.9,60,"800 SE 16th St, Fort Lauderdale, FL 33316, USA",ChIJZ2_wEa0E2YgRXw87i_J88JQ,dead,,connection_error,,,False,98
Fort Lauderdale,Coral Ridge Fort Lauderdale FL,Remodelers,ALBA REMODELING,(954) 798-2177,https://www.instagram.com/albaremodeling/#,Yes,5.0,57,"2642-2500 S Palm Aire Dr, Pompano Beach, FL 33069, USA",ChIJPcweNF4D2YgR-j0eSy8y30w,fake_A,A,,,,True,100
Fort Lauderdale,Plantation FL,Roofers,Florida Roofing Pros | Residential & Commercial Roofing | Flat Roof Specialist,(954) 806-2016,https://floridaroofingpros.godaddysites.com/,Yes,5.0,52,"10130 Reflections Blvd N Unit 104, Sunrise, FL 33351, USA",ChIJR9A41E0J2YgRp40obXqPH_U,fake_B,B,,,,True,95
Fort Lauderdale,Lauderdale-by-the-Sea FL,HVAC companies,Max AC Repair Service,(754) 714-7707,https://maxacrepairservice.com/fort-lauderdale/,Yes,4.9,50,"6278 N Federal Hwy, Fort Lauderdale, FL 33308, USA",ChIJTyGSlQID2YgR7i5L2EmIGN8,timeout,,timeout,,,True,75
Fort Lauderdale,Davie FL,Pest control,Quintech Pest Control,(786) 222-6182,https://quintechpest.com/?utm_source=omg-gbp&utm_medium=webclick,Yes,5.0,46,"5232 SW 94th Ave, Cooper City, FL 33328, USA",ChIJN-c7opQH2YgRXpW4ldBNCbQ,dead,,404,,132.0,True,94
