city,area,industry,name,phone,website,has_website,rating,review_count,address,place_id,url_type,has_ssl,final_url,http_status,alive,response_ms,redirect_url,needs_get,method_used,priority_score,lead_tier
Orlando,Winter Park FL,Electricians,Percopo Electric,(407) 766-5150,,No,5,32,"7028 Betty St, Winter Park, FL 32792, USA",ChIJzVW6XDny9S8Rf1ZIJdJqXZQ,none,False,,,False,,,False,none,100,no_website
Orlando,Winter Park FL,Electricians,Bella Electric INC.,(407) 730-0034,,No,5,3,"3500 Aloma Forsyth Center, Winter Park, FL 32792, USA",ChIJAT6g8JRv54gRDv856RwBdVA,none,False,,,False,,,False,none,100,no_website
Orlando,Winter Park FL,Plumbers,Winter Park AC Repair & Plumbing,(407) 410-3242,,No,5,18,"400 S Park Ave, Winter Park, FL 32789, USA",ChIJl2XDFh-p2YgRlgL_6PeiNbM,none,False,,,False,,,False,none,100,no_website
Orlando,Winter Park FL,Plumbers,Ken's Plumbing Inc,(407) 647-7400,,No,5,11,"1938 W Fairbanks Ave, Winter Park, FL 32789, USA",ChIJpYJMcHxw54gRbbJlUAFHcVk,none,False,,,False,,,False,none,100,no_website
Orlando,Winter Park FL,Plumbers,Winter Park Plumbing Services,(407) 863-0691,,No,5,5,"250 S Center St, Winter Park, FL 32789, USA",ChIJk8fE7rRx54gRVVT2IslbvWM,none,False,,,False,,,False,none,100,no_website
Orlando,Winter Park FL,Roofers,ROOFING CONSTRUCTION SERVICES LLC,(689) 345-7999,,No,4.9,62,"2745 W Fairbanks Ave Ste. 205, Winter Park, FL 32789, USA",ChIJswE6Ubdx54gRkTkfZynnvt8,none,False,,,False,,,False,none,100,no_website
Orlando,Winter Park FL,Cleaning companies,Evolution Deep Clean,(407) 476-8525,,No,4.9,160,"729 Executive Dr, Winter Park, FL 32789, USA",ChIJUdKvKS5d54gRVGNQWRdHUa4,none,False,,,False,,,False,none,100,no_website
Orlando,Winter Park FL,Cleaning companies,GreatJobPro - House Cleaning Winter Garden,(407) 928-2738,,No,5,157,"9813 Lost Creek Dr, Winter Garden, FL 34787, USA",ChIJOTlqzbRM3aUR8cVfw_I1ZfM,none,False,,,False,,,False,none,100,no_website
Orlando,Winter Park FL,Landscapers,Ace Landscape Services LLC,(407) 619-4675,,No,4.4,20,"2152 Linden Rd, Winter Park, FL 32792, USA",ChIJB_cUBb1v54gR72dTLOQDclg,none,False,,,False,,,False,none,100,no_website
Orlando,Winter Park FL,Landscapers,J & W Landscaping,(407) 628-4434,,No,3.9,7,"2005 Kentucky Ave, Winter Park, FL 32789, USA",ChIJ6Su27XBw54gRq3ckEqJBXVU,none,False,,,False,,,False,none,100,no_website
Orlando,Winter Park FL,Pool service companies,Bill Wendorf's Pool Services,(407) 645-4499,,No,4.2,10,"1990 Kentucky Ave, Winter Park, FL 32789, USA",ChIJFWDFzntw54gRZF4bB5D2auA,none,False,,,False,,,False,none,100,no_website
Orlando,Winter Park FL,Med spas,Emerald Medical Center and Spa,(650) 867-4838,,No,4.9,111,"1298 Minnesota Ave Suite H, Winter Park, FL 32789, USA",ChIJmxCyz-Jx54gRGCOROOlDWDQ,none,False,,,False,,,False,none,100,no_website
Orlando,Winter Park FL,Accountants,Bette Cohn & Associates,(407) 960-3652,,No,5,6,"2431 Aloma Ave STE 100, Winter Park, FL 32792, USA",ChIJnw2CUH1l54gRTY4e7TEpMs0,none,False,,,False,,,False,none,100,no_website
Orlando,College Park Orlando FL,Electricians,Orlando Electrician Guys,(407) 250-1292,,No,5,11,"2410 Reading Dr, Orlando, FL 32804, USA",ChIJ_Uq8lGh754gR8SBoxkXFWvw,none,False,,,False,,,False,none,100,no_website
Orlando,College Park Orlando FL,Electricians,"Farina Electric, Inc.",(407) 538-2473,,No,5,5,"2622 Taft Ave, Orlando, FL 32804, USA",ChIJDYfjtB9654gR62pJMq2AgOI,none,False,,,False,,,False,none,100,no_website
Orlando,College Park Orlando FL,Plumbers,J&G Plumbing,(407) 759-3391,,No,4.7,91,"316 N Parramore Ave Suite 378, Orlando, FL 32801, USA",ChIJ8Yw1oBh754gRIaQ8i8TwbRQ,none,False,,,False,,,False,none,100,no_website
Orlando,College Park Orlando FL,Roofers,Direct Roofing Company,(407) 459-7746,,No,5,19,"646 W Smith St, Orlando, FL 32804, USA",ChIJ8VQmtVd754gRiKWqnSYvs4A,none,False,,,False,,,False,none,100,no_website
Orlando,College Park Orlando FL,Roofers,ROOKOZ ROOFING LLC,(321) 321-9368,,No,4.7,15,"155 S Court Ave UNIT 1114, Orlando, FL 32801, USA",ChIJjZLMCTJ754gRM-7fKfezPes,none,False,,,False,,,False,none,100,no_website
Orlando,College Park Orlando FL,Remodelers,Rock Bathroom Remodeling Pros,(689) 264-5402,,No,3.7,3,"1317 Edgewater Dr #1434, Orlando, FL 32804, USA",ChIJpRtwqu1354gRZ7bbDYYJzH0,none,False,,,False,,,False,none,100,no_website
Orlando,College Park Orlando FL,Cleaning companies,College Park Cleaners,(407) 422-7595,,No,4.9,11,"2305 Edgewater Dr # I, Orlando, FL 32804, USA",ChIJfb8CZWN654gRXkyiofj3Fi4,none,False,,,False,,,False,none,100,no_website
Orlando,College Park Orlando FL,Cleaning companies,Mr. Homes Cleaning,(407) 230-9051,,No,5,1,"915 Boardman St, Orlando, FL 32804, USA",ChIJiSZ8GNrYQI0RYxIDz-9Jw9k,none,False,,,False,,,False,none,100,no_website
Orlando,College Park Orlando FL,Pest control,Avalon Pest Control Service,(689) 228-4866,,No,5,7,"200 S Orange Ave, Orlando, FL 32801, USA",ChIJoRFF-Ap754gRoSp5lH77BAA,none,False,,,False,,,False,none,100,no_website
Orlando,College Park Orlando FL,Pest control,Orlando Bat Exclusion Pro,(321) 319-9850,,No,5,29,"135 W Central Blvd, Orlando, FL 32801, USA",ChIJdVeNhTF754gRsiyUVLQSU38,none,False,,,False,,,False,none,100,no_website
Orlando,College Park Orlando FL,Pest control,R&C Pest control Service and Air duct & Dryer vent cleaning Of FL,(689) 304-4212,,No,4.9,16,"121 S Orange Ave Suite 1500, Orlando, FL 32801, USA",ChIJrUi--Mh754gR5oOWxBmnvF4,none,False,,,False,,,False,none,100,no_website
Orlando,College Park Orlando FL,Landscapers,Positive Thinking Lawn Care,(407) 283-4122,,No,5,13,"1432 Lantry Ct, Orlando, FL 32804, USA",ChIJRVyGgLt554gRF0VaSps90dE,none,False,,,False,,,False,none,100,no_website
Orlando,College Park Orlando FL,Accountants,Park Avenue Accounting,(407) 895-8888,,No,5,10,"1511 S Crystal Lake Dr, Orlando, FL 32806, USA",ChIJw-8CiC1754gRBtOW5_uO-14,none,False,,,False,,,False,none,100,no_website
Orlando,College Park Orlando FL,Mortgage brokers,Union Home Mortgage - Orlando,(407) 602-1333,,No,4.9,625,"1030 N Orange Ave Suites 210 & 211, Orlando, FL 32801, USA",ChIJD8_y0HRw54gRTLeE3j4i61s,none,False,,,False,,,False,none,100,no_website
Orlando,College Park Orlando FL,Property managers,Evolve Property Group,,,No,4.1,21,"229 Pasadena Pl, Orlando, FL 32803, USA",ChIJFyZmEV6iUC0RSq7mXGmSbLA,none,False,,,False,,,False,none,100,no_website
Orlando,Dr Phillips Orlando FL,Electricians,FRED Electrical Residential Services,(571) 982-9312,,No,5,39,"6452 Vineland Rd unit 106, Orlando, FL 32819, USA",ChIJ80AA9r1_54gR0HeS8YGM9LE,none,False,,,False,,,False,none,100,no_website
Orlando,Dr Phillips Orlando FL,HVAC companies,Orlando HVAC Air Conditioning,(689) 698-5010,,No,4.9,240,"6000 N Orange Blossom Trl, Orlando, FL 32808, USA",ChIJCx3Mwg9ZlIARzWxxkXOIeRg,none,False,,,False,,,False,none,100,no_website
