city,area,industry,name,phone,website,has_website,rating,review_count,address,place_id,url_type,has_ssl,final_url,http_status,alive,response_ms,redirect_url,needs_get,method_used,priority_score,lead_tier
Fort Lauderdale,Davie FL,HVAC companies,Lord’s a/c,(786) 260-4783,,No,4.8,773,"13261 SW 7th Ct, Davie, FL 33325, USA",ChIJFyZPrUQJ2YgRPGMV4VMN6FQ,none,False,,,False,,,False,none,100,no_website
Jacksonville,Southside Jacksonville FL,Dentists,J.Rivas Dental,(904) 475-2177,,No,4.9,640,"9776 San Jose Blvd # 1, Jacksonville, FL 32257, USA",ChIJX6g-3G3J5YgRH1YE_Y7rQ2I,none,False,,,False,,,False,none,100,no_website
Orlando,College Park Orlando FL,Mortgage brokers,Union Home Mortgage - Orlando,(407) 602-1333,,No,4.9,625,"1030 N Orange Ave Suites 210 & 211, Orlando, FL 32801, USA",ChIJD8_y0HRw54gRTLeE3j4i61s,none,False,,,False,,,False,none,100,no_website
Clearwater,Palm Harbor FL,Dentists,Dr. Scott N. Folino D.D.S.,(727) 784-0214,,No,4.9,474,"2311 US-19 ALT #3, Palm Harbor, FL 34683, USA",ChIJ-_f4IqHywogRHo9ZcjCOMv8,none,False,,,False,,,False,none,100,no_website
Fort Lauderdale,Coral Springs FL,HVAC companies,Dr. HVAC,(954) 800-8457,,No,4.8,373,"5441 NW 15th St, Margate, FL 33063, USA",ChIJN1Uh-tId2YgRls1TTOjo22A,none,False,,,False,,,False,none,100,no_website
West Palm Beach,Boynton Beach FL,Accountants,Your Favorite Tax Man,(561) 634-6654,,No,5,370,"301 W Atlantic Ave #8, Delray Beach, FL 33444, USA",ChIJJytASybZ2IgRGIyrjY17T8w,none,False,,,False,,,False,none,100,no_website
Tampa,Seminole Heights Tampa FL,Med spas,DermaMode Spa,(813) 566-0226,,No,4.9,369,"10933 Countryway Blvd, Tampa, FL 33626, USA",ChIJN7CT-jrrwogRW9m3dJmfY3Q,none,False,,,False,,,False,none,100,no_website
Orlando,Lake Nona Orlando FL,Property managers,BULL Property Management,(407) 955-4088,,No,4.1,348,"10743 Narcoossee Rd A12, Orlando, FL 32832, USA",ChIJobzNC5KJ3YgROerK14SmpLY,none,False,,,False,,,False,none,100,no_website
Orlando,Altamonte Springs FL,Property managers,Top Notch Realty Services Community Association Management,(407) 644-4406,,No,4.2,332,"115 Maitland Ave, Altamonte Springs, FL 32701, USA",ChIJyTHoi0pw54gR5DOWVFiJ53Q,none,False,,,False,,,False,none,100,no_website
Orlando,Altamonte Springs FL,Dentists,"Richard S. Rogers, DDS",(407) 862-6090,,No,4.9,330,"512 E Altamonte Dr Suite 1010, Altamonte Springs, FL 32701, USA",ChIJf2pJzX1x54gR6srwiZshWu8,none,False,,,False,,,False,none,100,no_website
