name,address,phone,website,has_website,rating,total_reviews,place_id
Mukwani Attorneys Law Firm,"26 Sturdee Ave, Rosebank, Johannesburg, 2107, South Africa",011 331 0072,http://www.mukwaniattorneys.co.za/,Yes,4.7,61,ChIJYd3io0QPlR4RHaIxcbXeObw
Bregman Moodley Attorneys Inc,"60 Riviera Rd, Killarney, Johannesburg, 2193, South Africa",011 646 0335,https://www.bregmans.co.za/,Yes,4.7,75,ChIJ8ed8aLFzlR4RV0XQ3dQ7rfI
State Attorney Johannesburg,"99 Albertina Sisulu Rd, Johannesburg, 2101, South Africa",011 330 7600,,No,4.1,48,ChIJ4TkCdYcOlR4R9LcC3ij3myg
Pisanti Attorneys Incorporated,"Unit 17, 3 Riley Rd, Bedfordview, Johannesburg, 2008, South Africa",067 029 8140,http://www.pisantilaw.co.za/,Yes,5,77,ChIJD5BJoDsSlR4RqrO0ahftQLE
"Ooni & Wadia Inc. Attorneys, Notaries & Conveyancers","Suite 01, Reef Park, 7 Gold Reef Rd, Ormonde, Johannesburg, 2091, South Africa",011 029 7003,http://www.nowattorneys.co.za/,Yes,5,38,ChIJ3_52BTAJlR4R_FEwPQmFwXo
Peer Carrim Attorneys,"Building 2, Bassonia Estate Office Park East Cnr Soetdoring Ave &, Cussonia Dr, Bassonia, Johannesburg, 2061, South Africa",011 942 4350,http://www.peercarrim.co.za/,Yes,4.8,451,ChIJK9MYBOsIlR4Rutd9fTLuJ0U
Tonkin Clacey Attorneys,"105 Corlett Dr, Melrose, Johannesburg, 2196, South Africa",011 880 6695,https://www.tcinc.co.za/,Yes,4.5,88,ChIJiWrGLfMMlR4RZY_AYS530N4
Ndungu Attorneys Inc,"159 Saint George’s Road (cnr, Fourie St, Observatory, Johannesburg, 2198, South Africa",083 733 2675,https://ndunguattorneys.co.za/,Yes,4.2,57,ChIJA6YR15gOlR4RGdBctZmvZhg
Lawtons Africa,"140 West St, Sandown, Johannesburg, 2196, South Africa",011 286 6900,http://www.lawtonsafrica.com/,Yes,4.3,37,ChIJuWrgBwVzlR4RipDfNrveQUE
DE BROGLIO INC,"127 Jan Smuts Ave, Parkwood, Johannesburg, 2193, South Africa",011 446 4200,http://accidentclaim.co.za/,Yes,4.7,246,ChIJY4Kc24gMlR4RwJ6EiygEaV4
Ferzana Mia Attorneys,"14 Olga Kirsch St, Ridgeway, Johannesburg South, 2091, South Africa",082 356 0695,http://ferzanamiaattorneys.co.za/,Yes,4.8,16,ChIJyXxYg94IlR4RjPP5L1s7Ruo
Gittins Attorneys,"1 St Andrews Ave, Senderwood, Johannesburg, 2007, South Africa",010 001 2002,https://www.gittins.co.za/,Yes,4.9,42,ChIJS-mKywQRlR4R-zDa2Jl3gPw
KPMI,"44 Silver Ln, Ormonde, Johannesburg, 2091, South Africa",011 832 2332,http://www.kpmi.co.za/,Yes,5,22,ChIJp2WgpakOlR4RVidbpwnuU0Q
Sonya Meistre Attorneys,"10 Sneeuberg St, Glenvista, Johannesburg South, 2091, South Africa",011 432 4113,http://smainc.co.za/,Yes,4.7,68,ChIJ31-h0ocFlR4RTT1eNjAKito
LAHER ATTORNEYS,"First Floor, 20 Baker St, Rosebank, Johannesburg, 2198, South Africa",072 247 3821,http://laherlaw.co.za/,Yes,5,20,ChIJZ2Z8K_QMlR4RJRiSaGGmi8M
RH Lawyers Incorporated,"21 West St, Houghton Estate, Johannesburg, 2198, South Africa",087 188 2698,http://www.rhlawyers.co.za/,Yes,4.6,44,ChIJvZnzPU8MlR4RkhVBngHKCBQ
SD Law Johannesburg Attorney,"1st Floor Craddock Square, 169 Oxford Rd, Rosebank, Johannesburg, 2196, South Africa",076 116 0623,https://www.sdlaw.co.za/,Yes,4.4,8,ChIJH0DGSu0MlR4Rp6a4tkOt0KQ
Moosa Mayet Attorneys Inc.,"24 Marshall St, Westgate, Johannesburg, 2048, South Africa",010 500 5029,https://mayetlaw.co.za/,Yes,4.8,24,ChIJh54md_0PlR4RNp3-EQv7QUU
Allan Levin & Associates Attorneys,"1st Floor, 80 Corlett Dr, Melrose, Johannesburg, 2196, South Africa",011 447 6171,https://www.ala.co.za/,Yes,4.4,21,ChIJBWSIMOAMlR4RgA1kALcywgI
S T ATTORNEYS,"22 Alamein Rd, Robertsham, Johannesburg, 2091, South Africa",011 433 2973,,No,4.8,24,ChIJR0qLQdMOlR4RHLFkiUDtsZ0
