name,address,phone,website,has_website,rating,total_reviews,place_id
Houghton Dental,"53 2nd Avenue, The Houghton Medical Suites Gate 2, The Houghton Hotel, Houghton Estate, Johannesburg, 2198, South Africa",074 804 0271,http://www.houghtondental.co.za/,Yes,5,133,ChIJO7kvs7wNlR4R0cnV1vKyF84
Dr A Hansa,"36 Xavier St, Robertsham, Johannesburg South, 2091, South Africa",011 042 7650,,No,4.4,36,ChIJpc7og9cIlR4RV6KFpBja5nc
Dr. Chodree S,"105 Vorster Ave, Glenanda, Johannesburg, 2091, South Africa",011 432 2717,http://www.johannesburgsouthdentist.co.za/,Yes,4.3,93,ChIJLfibGxkPlR4R5HPNFBflgx4
The Thinc Clinic,"28 Bolton Rd, Rosebank, Johannesburg, 2193, South Africa",011 788 6218,http://thincclinic.co.za/,Yes,4.9,335,ChIJT9lPl5IMlR4RAyD4ml9ZCM0
iSmile Dental,"30 Alamein Rd, Southdale, Johannesburg South, 2091, South Africa",011 680 5202,http://ismiledentalsa.com/,Yes,4.9,78,ChIJp22SbdQOlR4RzICel4bR9vU
Dr Zunaid Solomon,"Simmonds St & Pritchard St Shop C1, No.1 First Place, FNB BankCity, Johannesburg, 2000, South Africa",081 491 1978,,No,4.7,77,ChIJYaQSJJ8OlR4RXQpY48Qp6T8
Dr. Prelene,"Shop 8 4 First Place Cnr Harrison &, Pritchard St, Johannesburg CBD, Johannesburg, 2001, South Africa",011 838 4537,,No,4.4,68,ChIJJ8oEvqEOlR4Rxj-SM5RJ66Q
Dr. Faheema Ismail,"68 Mint Rd, Fordsburg, Johannesburg, 2033, South Africa",011 834 8228,,No,4.8,117,ChIJGzhKKwAMlR4Rz2hIiP_jJ6M
QDental,"101 Columbine Ave, Mondeor, Johannesburg South, 2091, South Africa",011 492 1087,http://www.qdental.co.za/,Yes,4.7,45,ChIJmwIj8qoOlR4RKQ0gQkkThdg
Dr A Magan,"33 Rifle Range Rd, Ridgeway, Johannesburg, 2091, South Africa",082 738 1682,http://www.drmagan.co.za/,Yes,4.6,173,ChIJlfpcdN4IlR4R-rWGbeZi_6w
Dr Riyaz Mahomed (Dentist),"295 Columbine Ave, Mondeor, Johannesburg, 2091, South Africa",011 680 5680,https://www.meditrader.co.za/dr-r-mahomed-dentist-dental-surgeon-mondeor-johannesburg-south,Yes,5,10,ChIJw30QorYIlR4RiSGP40WaDO0
Columbine Medical & Dental Centre,"295 Columbine Ave, Mondeor, Johannesburg, 2110, South Africa",011 680 5680,,No,4.8,13,ChIJg_30obYIlR4RKQ5CgHD5A-k
Legae dental care,"Solly Sachs House 73 Albertina Sisulu road, Solly Sachs house, 111 Commissioner St, Marshalltown, Johannesburg, 2001, South Africa",087 802 0933,,No,5,28,ChIJM2tH6hoPlR4RBYIRi4BLyZw
Dentist @ The Square,"Cnr Kingsway and Beyers Naude drive Campus Square Mall, Auckland Park, Johannesburg, 2092, South Africa",064 521 9490,http://dentistatthesquare.co.za/,Yes,4.9,131,ChIJs4IxfwILlR4RlK1OpZOaY9M
Molar Bear Dental,"11 Main Rd, Melville, Johannesburg, 2092, South Africa",011 482 1592,http://www.molarbeardental.co.za/,Yes,4.9,166,ChIJ_wAlx0ULlR4RBk6a0V6APpc
Wits Dental Hospital,"Parktown, Johannesburg, 2193, South Africa",011 488 4770,,No,3.9,113,ChIJQ23tYEAMlR4REj_4GJVjHaU
Linmeyer Dental,"35 Elizabeth street, Greenhills building, Shop no. 7, Linmeyer, Johannesburg South, 2091, South Africa",011 436 1644,,No,4.4,49,ChIJMXQY024PlR4RlGOgh_g74lM
Rifle Range Medical & Dental Centre,"Winchester Hills, Johannesburg, 2091, South Africa",011 433 2480,,No,3.8,9,ChIJ_XFLjfoJlR4RnZI-kiKxMcw
Dr. Cassim B A,"Winchester Hills, Johannesburg, 2091, South Africa",011 680 1010,,No,4.7,22,ChIJ7wDKb9IIlR4RNfhPAi8g6fA
Newtown Dental Studio,"Miriam Makeba Street &, Carr St, Newtown, Johannesburg, 2001, South Africa",064 594 3399,,No,4.4,51,ChIJs-HNTfoNlR4RAcy44pd2tmU
