name,address,phone,website,has_website,rating,total_reviews,place_id
Sandton Dental Clinic - Dr's Peer,"Suite 120 Medical Mews Sandton City Sandton Banking Mall Sandton City opposite Standard Bank CNR 5th & Rivonia Sandton, Sandhurst, Sandton, 2146, South Africa",011 783 4575,http://www.sandtondentalclinic.co.za/,Yes,4.6,163,ChIJZ428LS1zlR4R3G9vcOsALSM
Sandton Dental Studio-Dr Wynand van der Merwe,"Unit 6, Upper Level, Grayston Shopping Centre Corner Grayston Drive And, Helen Rd, Strathavon, Sandton, 2196, South Africa",011 326 5153,http://www.sandtondental.co.za/,Yes,4.8,98,ChIJXQx9PdZylR4RnXIjc9anrT0
Thinc Sandton (The Thinc Clinic),"11 Selby Rd, Rosebank, Johannesburg, 2193, South Africa",011 788 2701,https://thincsandton.co.za/,Yes,5,363,ChIJXSS9Bi9zlR4Rwjjyq-zl3EY
Dr Jack Shih (Dentist),"Suite 114 Medical Mews Sandton City Mall Sandton, Sandhurst, Sandton, 2196, South Africa",011 784 9260,https://drjackshih.co.za/,Yes,5,138,ChIJNbdCLl5zlR4RxZ4Hq1-wIlA
Sky Dental Clinic Sandton by Dr Andrew Sidelsky,"3, Building, Rivonia Office Park, 150 Rivonia Rd, Sandown, Sandton, 2196, South Africa",010 900 5148,https://www.skydental.co.za/,Yes,5,31,ChIJ2WnOWNZzlR4RYrWxpPNaEr0
Betta Smile Teeth Whitening,"204 Oxford Rd, Illovo, Sandton, 2196, South Africa",083 378 3392,https://bettasmile.co.za/,Yes,4.6,205,ChIJYWiLBKUMlR4R8EmxB4GZFHU
Dr Riaz Wadvalla,"Sandton City Shopping Centre Medical Mews Suite 105, Corner Rivonia and Fifth street, Sandton, Johannesburg, 2196, South Africa",011 783 7168,http://sandtoncitydentist.co.za/,Yes,4.2,46,ChIJSVL9ci1zlR4RlbeHFQSB6iY
"Aplus Dentistry @THE MARC,SANDTON","shop 07, Upper retail, 129 Rivonia Rd, Sandown, Sandton, 2196, South Africa",010 443 6012,http://www.aplusdentistry.co.za/,Yes,4.7,89,ChIJyaB9BYRzlR4Rc9SMbN4bgv4
Family Dental Care - William Nicol (Invisalign Provider),"Pick n Pay on Nicol Shopping Centre, Shop 07 Corner of William Nicol Drive and Republic Road in, Hurlingham, Sandton, 2070, South Africa",010 065 0688,http://www.familydentalcare.co.za/,Yes,5,385,ChIJbQFjA_ZzlR4RaJ1OKevWIDs
Pravoma Dental Clinic SANDTON,"Cnr. Kelvin Drive and, Morning Glen Mall, Bowling Ave, Morningside, Sandton, 2196, South Africa",010 205 9455,https://www.pravomadental.co.za/,Yes,4.8,28,ChIJYRPMFylzlR4Rbrfz4FE2gwo
Sandton Dentist - Dr Albert Van Der Walt,"Block D, 1st Floor, Rochester Place, 173 Rivonia Rd, Morningside, Sandton, 2057, South Africa",011 783 5511,http://www.sandton-dentist.co.za/,Yes,5,22,ChIJk78t1CRzlR4RrTQ65lcEpS4
Dr. Suveer Singh,"93 Maude St, Sandown, Sandton, 2196, South Africa",011 783 7367,http://www.drsinghinc.co.za/,Yes,4.3,25,ChIJexJari5zlR4RY0LpzatATyE
Dr Bee,"UMED, Medical Suites, 134 Grayston Dr, Sandown, Sandton, 2031, South Africa",060 487 0210,http://www.doctorbee.co.za/,Yes,4.7,85,ChIJyditknd3lR4RMxsFwvUH5OM
Melrose Dental Studio,"Medical Suites, Level 1, Blu Bird Shopping Centre Cnr Atholl Oaklands rd and, Park Rd, Birnam, Johannesburg, 2196, South Africa",011 440 7836,http://www.melrosedental.co.za/,Yes,4.8,114,ChIJ9RZg4R8NlR4R9e6hAQIxx4s
Family Dental Care - Sandton,"block b, 66 Rivonia Rd, Chislehurston, Sandton, 2196, South Africa",010 226 9335,https://www.familydentalcare.co.za/,Yes,5,9,ChIJRdmFAAINlR4R_beN7YO0IrM
Dr M Cassim Practice,"Corner Rivonia & 5th Streets ., 140 Medical Mews, Sandton City Shopping Centre,, Sandhurst, Sandton, 2196, South Africa",011 883 3005,https://www.drmcassim.co.za/,Yes,4.6,19,ChIJObDkmTJzlR4RM9Xpem7jQws
Dr Zunaid Solomon,"Block D, Rochester Place, 173 Rivonia Rd, Morningside, Sandton, 2057, South Africa",061 504 5088,,No,4.9,97,ChIJ_16K_CRzlR4Ru9DQTqoxCG4
Sculpt Dentistry Sandton Dentist,"158 Coleraine Dr, Morningside, Sandton, 2057, South Africa",011 463 1151,https://www.sculptdentistry.com/,Yes,5,20,ChIJDTlqKKlzlR4R-8NqIS_j7b8
Intercare Sandton,"MediMix at 200 Rivonia, 200 Rivonia Rd, Morningside, Sandton, 2057, South Africa",010 880 1500,https://www.intercare.co.za/facilities/intercare-sandton,Yes,3.6,77,ChIJ4eth4JxzlR4RKQNUFUloDI4
Smiles Family Dentist Bryanston - Dr. J & A Khoosal,"3 Nursery Ln, Bryanston, Sandton, 2191, South Africa",011 706 7700,http://smilesfamilydentist.co.za/,Yes,4.9,227,ChIJ3afGTIF0lR4R9vi0ocsd9B4
