name,address,phone,website,has_website,rating,total_reviews,place_id
Dr. Chodree S,"105 Vorster Ave, Glenanda, Johannesburg, 2091, South Africa",011 432 2717,http://www.johannesburgsouthdentist.co.za/,Yes,4.3,93,ChIJLfibGxkPlR4R5HPNFBflgx4
Houghton Dental,"53 2nd Avenue, The Houghton Medical Suites Gate 2, The Houghton Hotel, Houghton Estate, Johannesburg, 2198, South Africa",074 804 0271,http://www.houghtondental.co.za/,Yes,5,133,ChIJO7kvs7wNlR4R0cnV1vKyF84
The Thinc Clinic,"28 Bolton Rd, Rosebank, Johannesburg, 2193, South Africa",011 788 6218,http://thincclinic.co.za/,Yes,4.9,335,ChIJT9lPl5IMlR4RAyD4ml9ZCM0
Dr A Hansa,"36 Xavier St, Robertsham, Johannesburg South, 2091, South Africa",011 042 7650,,No,4.4,36,ChIJpc7og9cIlR4RV6KFpBja5nc
Dr. Faheema Ismail,"68 Mint Rd, Fordsburg, Johannesburg, 2033, South Africa",011 834 8228,,No,4.8,117,ChIJGzhKKwAMlR4Rz2hIiP_jJ6M
Dr. Prelene,"Shop 8 4 First Place Cnr Harrison &, Pritchard St, Johannesburg CBD, Johannesburg, 2001, South Africa",011 838 4537,,No,4.4,68,ChIJJ8oEvqEOlR4Rxj-SM5RJ66Q
Dr A Magan,"33 Rifle Range Rd, Ridgeway, Johannesburg, 2091, South Africa",082 738 1682,http://www.drmagan.co.za/,Yes,4.6,173,ChIJlfpcdN4IlR4R-rWGbeZi_6w
iSmile Dental,"30 Alamein Rd, Southdale, Johannesburg South, 2091, South Africa",011 680 5202,http://ismiledentalsa.com/,Yes,4.9,78,ChIJp22SbdQOlR4RzICel4bR9vU
Molar Bear Dental,"11 Main Rd, Melville, Johannesburg, 2092, South Africa",011 482 1592,http://www.molarbeardental.co.za/,Yes,4.9,166,ChIJ_wAlx0ULlR4RBk6a0V6APpc
QDental,"101 Columbine Ave, Mondeor, Johannesburg South, 2091, South Africa",011 492 1087,http://www.qdental.co.za/,Yes,4.7,45,ChIJmwIj8qoOlR4RKQ0gQkkThdg
Legae dental care,"Solly Sachs House 73 Albertina Sisulu road, Solly Sachs house, 111 Commissioner St, Marshalltown, Johannesburg, 2001, South Africa",087 802 0933,,No,5,28,ChIJM2tH6hoPlR4RBYIRi4BLyZw
Dentist @ The Square,"Cnr Kingsway and Beyers Naude drive Campus Square Mall, Auckland Park, Johannesburg, 2092, South Africa",064 521 9490,http://dentistatthesquare.co.za/,Yes,4.9,131,ChIJs4IxfwILlR4RlK1OpZOaY9M
Dr Riyaz Mahomed (Dentist),"295 Columbine Ave, Mondeor, Johannesburg, 2091, South Africa",011 680 5680,https://www.meditrader.co.za/dr-r-mahomed-dentist-dental-surgeon-mondeor-johannesburg-south,Yes,5,10,ChIJw30QorYIlR4RiSGP40WaDO0
JK the Dentist,"11 12th Ave, Parktown North, Randburg, 2193, South Africa",011 447 7425,https://www.jkthedentist.co.za/,Yes,5,141,ChIJz-P4cqIMlR4R0G3niy947Sk
BRUMA DENTAL | Dr Waseema Hamid & Associates,"5 Friedland Ave, Cyrildene, Johannesburg, 2198, South Africa",061 476 7706,,No,4.9,59,ChIJcdsDpHUOlR4R_qfLkXONODE
Dr. Cassim B A,"Winchester Hills, Johannesburg, 2091, South Africa",011 680 1010,,No,4.7,22,ChIJ7wDKb9IIlR4RNfhPAi8g6fA
Columbine Medical & Dental Centre,"295 Columbine Ave, Mondeor, Johannesburg, 2110, South Africa",011 680 5680,,No,4.8,13,ChIJg_30obYIlR4RKQ5CgHD5A-k
Dr Shameer Gani,"53 St Albans Ave, Mayfair West, Johannesburg, 2092, South Africa",011 839 2027,,No,5,41,ChIJfwq_01omaAERirq3bSuBWYs
De Necker Dentistry Melville,"23 4th Ave, Melville, Randburg, 2092, South Africa",011 726 7240,http://www.deneckerdentistry.com/,Yes,4.9,100,ChIJVaHMOJcLlR4R2ALPVN0muls
FresherBreath (Houghton),"15 Osborn Rd, Houghton Estate, Johannesburg, 2192, South Africa",011 403 3300,http://www.fresherbreath.co.za/,Yes,4.1,79,ChIJ32JUrBsMlR4RQygxkkhKjSA
