name,address,phone,website,has_website,rating,total_reviews,place_id
Waterfront Medical Doctor Clinic,"Suite 7113, Breakwater Blvd, Victoria & Alfred Waterfront, Cape Town, 8001, South Africa",021 418 2720,https://www.waterfrontmedical.co.za/?utm_source=gmb&utm_medium=organic&utm_campaign=cape-town,Yes,4.8,113,ChIJ9VN-cEVnzB0RyFEdO_r_8JQ
Cape Town Med: Dr Laylah Fayker CT,"2nd Floor, 74 Loop St, Cape Town City Centre, Cape Town, 8001, South Africa",062 005 2300,https://www.capetownmed.com/,Yes,4.9,207,ChIJbQf5rUJnzB0RkyHPXPye8uo
Advanced Global Medical Solutions (AGMS) - Doctor on Call,"Unit 103 the Foundary Courtyard, 74 Prestwich St, Green Point, Cape Town, 8005, South Africa",021 300 5795,https://www.agmedicalsolutions.com/,Yes,5,168,ChIJq3Z7XuJmzB0RLCMb0_rc0tI
Dr S G Henry Medical Practitioner,"Shop 7A, Block B, Sable Square, Bosmansdam Rd, Century City, Cape Town, 7441, South Africa",076 860 8193,,No,4.9,438,ChIJMTDS0rBdzB0RqpzotkaNse4
Dr Eden Lurie,"1st Floor, Health Junction, 29 Derry St, Vredehoek, Cape Town, 8001, South Africa",021 421 2019,https://www.dredenlurie.co.za/,Yes,4.9,152,ChIJl6BDjI5nzB0R6Tgqfopf5-E
"Doctor - Cape Town, Rondebosch","84 Campground Rd, Rondebosch, Cape Town, 7700, South Africa",021 686 1640,http://www.thefamilydoctor.co.za/,Yes,4.9,57,ChIJAxUnINZczB0RYuWZPV33tl0
My Family Doctor,"376 Imam Haron Rd, Cape Town, 7780, South Africa",021 633 3223,http://www.myfamilydoctor.co.za/,Yes,4.4,18,ChIJEbfXxptDzB0Rbn5Sb3xI7o4
Doctors in Century City and Montague Gardens areas/ Dr. Macky,"Units 32/33, 19 Edison Way, Century City, Cape Town, 7441, South Africa",021 525 9121,https://montaguemedical.co.za/,Yes,4.9,34,ChIJ1QX7jUJfzB0RCHfZqyqXch8
Paulse B R,"55 Victoria Rd, Woodstock, Cape Town, 7925, South Africa",021 770 0078,,No,4.8,156,ChIJ0Tomcp9dzB0RBQepji_buDc
CA Cape Doctors Rondebosch,"Belmont Square, Belmont Rd, Rondebosch, Cape Town, 7700, South Africa",063 448 8991,https://capedoctors.co.za/,Yes,4.1,65,ChIJK_NJ_KxdzB0R0ODrR5mWmjY
L J Botha and Associates T/a Medicross City Bowl,"The Link Building, 2nd Floor, Room 202, 11 D.F. Malan St, Foreshore, Cape Town, 8000, South Africa",021 423 2335,http://www.medicrosscapetown.co.za/,Yes,3.9,57,ChIJff3s1mVnzB0Ra9IHo8YD7nQ
Cape Town Med: Dr Laylah Fayker Sea Point,"Unit 407, 4th Floor, 11 Kloof Rd, Sea Point, Cape Town, 8005, South Africa",062 662 4110,https://www.capetownmed.com/,Yes,5,103,ChIJHcbmugFnzB0RTbTl9DVoy8k
Dorianne Green Med Comms - Dr. Dorianne Green,"2 Riebeek Street, 2504 Foreshore Place, Cape Town City Centre, Cape Town, 8001, South Africa",,http://www.doriannegreen.com/,Yes,4.9,62,ChIJ4-X6Wz0LlR4R4f2PYXPhYMs
Dr Kashmira Pillay,"4, Alpha Mansions, 104 New Church St, Tamboerskloof, Cape Town, 8001, South Africa",074 470 4592,https://www.drkashmirapillay.co.za/,Yes,5,17,ChIJydDGx7tnzB0RaOZnYS2yi3A
Dr Dina De Bruyn,"4 Alpha Mansions, 104 New Church Street, Tamboerskloof, Gardens, Cape Town, 8001, South Africa",021 422 1506,https://drdbook.10to8.com/,Yes,4.4,39,ChIJeToXCXJnzB0RXEOVwlzp210
Century City Health,"Unit B2, Mayfair Square, 13 Century Way, Century City, Cape Town, 7441, South Africa",021 879 3191,http://www.centurycityhealth.co.za/,Yes,5,36,ChIJqaZu96xdzB0RNuWQgVT623Y
Goodcare Medi Clinic,"Shop 17 Grand Central Shopping Complex, Lower Plein St, CBD, Cape Town, 8001, South Africa",021 465 0999,,No,3.4,40,ChIJKVmFlqdnzB0Rc2YaDoO1R4k
CA Cape Doctors Claremont,"Shop A1, Ground Floor Protea Place, 40 Dreyer St, Claremont, Cape Town, 7700, South Africa",078 584 4445,https://capedoctors.co.za/,Yes,4,61,ChIJbw2_EZ9DzB0R6caKQTKn3g4
RecoMed,"21 Dreyer St, Claremont, Cape Town, 8001, South Africa",,https://www.recomed.co.za/,Yes,4.8,2452,ChIJVTiomQddzB0RzTl3cX8hYfk
Mediclinic Cape Town Hospital,"21 Hof St, Gardens, Cape Town, 8001, South Africa",086 122 4466,https://www.mediclinic.co.za/en/cape-town/home.html?utm_source=facebook_page&utm_medium=website_link&utm_campaign=SP&utm_content=SP,Yes,3.9,440,ChIJg_X5jnZnzB0Rxdc2XC5FI_M
