name,address,phone,website,has_website,rating,total_reviews,place_id
Rachel Molongoana-Psychologist,"1 Laubscher St, Glenvista, Johannesburg South, 2091, South Africa",076 150 3200,http://findyourflourishsa.co.za/,Yes,4.8,31,ChIJRyA-XnQFlR4RBze3u1On2Z8
Debbie Howes Clinical Psychologist,"221 Columbine Ave, Mondeor, Johannesburg, 2091, South Africa",011 680 0981,https://debbiehowes.com/,Yes,5,10,ChIJU6gzpbkIlR4RUG4ggbD4NVg
Conscious Psychology,"36 Ashford Rd, Parkwood, Johannesburg, 2193, South Africa",076 932 9254,http://www.consciouspsychology.co.za/,Yes,4.8,40,ChIJrVF5B5cNlR4R1o5EuGDnMgE
Leanne Stillerman Clinical Psychologist,"4A Garden Rd, Orchards, Johannesburg, 2192, South Africa",083 235 9438,http://www.leannestillerman.com/,Yes,5,5,ChIJbedmsJEMlR4RN028tPXMI9g
Jonathan Bosworth - Psychologist,"16 7th Ave, Melville, Johannesburg, 2092, South Africa",083 703 5121,http://www.thejoburgpsychologist.co.za/,Yes,5,2,ChIJcfI0nPQMlR4RImjVXXprjAc
Dr Robyn Rosin (Counseling psychologist),"68 Birt St, Percelia Estate, Johannesburg, 2192, South Africa",082 902 2022,,No,5,11,ChIJAQAAAJwNlR4Rz0SgFmQsX24
EBENEZER PSYCHOLOGICAL CONSULTANCY INC ( THEBE PSYCHOLOGIST ),"Joburg Medical Centre, No. 126 Rahima Moosa St, Johannesburg, 2000, South Africa",078 021 2545,https://ebenezerpsy.co.za/,Yes,5,7,ChIJq7PbAaEOlR4RG3DGWYMDa0w
Luricka Fick Counselling Psychologist,"128 Senior Dr, Northcliff, Randburg, 2115, South Africa",083 759 0351,http://www.joburgpsychologist.today/,Yes,5,11,ChIJf41BnHSglR4R-UfvN4EhdvI
"Psychologist (Registered Counselor) in Mulbarton, Johannesburg","25 True N Rd, Mulbarton, Johannesburg, 2190, South Africa",071 895 9843,http://www.psychologistinjohannesburg.co.za/,Yes,4.6,10,ChIJgUQEoJAFlR4RGfs2bWvHmLE
Viability Behavioural Psychologist,"7 Donington Dr, Mulbarton, Johannesburg, 2170, South Africa",071 451 1342,http://www.viability.org.za/,Yes,5,16,ChIJq0MYzdoFlR4RFy-1X-5LHy8
ANGELA DEH Clinical Psychologist,"72B Oxford Rd, Riviera, Johannesburg, 2193, South Africa",083 255 6176,http://www.adcp.co.za/,Yes,3.8,10,ChIJwx8oClwMlR4Rfjmjlt7WBvU
MyHeadSpace | Psychology Assessment and Therapy Centre Johannesburg,"Unit A, 22 Louise St, Observatory, Johannesburg, 2000, South Africa",077 605 2343,https://myheadspace.co.za/myheadspace-johannesburg/,Yes,5,4,ChIJdxmwOjMNlR4RjtsE0UHTFX4
"Leah Gous, Counselling Psychologist","16 7th Ave, Melville, Johannesburg, 2092, South Africa",060 775 6889,http://www.leahpsychologist.co.za/,Yes,5,4,ChIJo4xaCgsLlR4RGjtwLNSMysw
Meaningful Minds Psychologists Germiston,"3 Bradford Rd, Germiston, Johannesburg, 2008, South Africa",081 759 4849,http://www.meaningfulminds.co.za/,Yes,4.2,53,ChIJqbsQ-BsSlR4REBn9b4WgxZw
Amanda Gifford - Psychologist Oaklands - by appointment only,"Oaklands Therapy Studio, 34 Victoria St, Oaklands, Johannesburg, 2192, South Africa",,http://www.amandagifford.co.za/,Yes,4.8,27,ChIJ71jKTPFzlR4RJxMaycTof9A
"Ingrid Pollak, Psychotherapist, Social Worker, Somatic Therapist, Hypnotherapist, Reiki Master, Access Bars practitioner","107 14th St, Orange Grove, Johannesburg, 2192, South Africa",082 331 8424,http://www.inneressence.co.za/,Yes,4.9,195,ChIJuVF-pZYNlR4RAQ3p9ir4zsk
PsySSA (Psychological Society of South Africa),"Oakhurst Office Park, 13 St Andrews Rd, Parktown, Johannesburg, 2193, South Africa",011 486 3322,http://www.psyssa.com/,Yes,4.4,5,ChIJv9GcQkQMlR4RYEUDBzyHQI4
Casey Forman Psychologist,"1 Sturdee Ave, Rosebank, Johannesburg, 2196, South Africa",072 293 3648,http://www.freedominbalance.co.za/,Yes,5,12,ChIJ3zMnUAZ3lR4RYYgbwC4F9KM
NPK Clinical Psychologist,"NPK Clinical Psychologist, 221 Columbine Ave, Mondeor, Johannesburg, 2091, South Africa",073 638 2495,https://npkclinicalpsychologist.co.za/,Yes,5,7,ChIJU6gzpbkIlR4RgwYilufomhw
Dr ZAE Motala,"6 Junction Ave, Parktown, Johannesburg, 2193, South Africa",087 098 0458 ext. 5556,http://www.drmotalazae.co.za/,Yes,4.7,157,ChIJFWaTXjwMlR4RAnWv2DwwEqI
