name,address,phone,website,has_website,rating,total_reviews,place_id
Ormonde View Estates,"Nasrec Rd, Aeroton, Johannesburg, 2190, South Africa",011 210 8600,https://olympicrealtors.com/OrmondeViewEstates,Yes,4.3,795,ChIJORlKpuIIlR4Rq5wuludRfSs
HOMESOLD PROPERTIES®️,"80 Grant Ave, Norwood, Johannesburg, 2193, South Africa",084 300 0444,http://www.homesoldproperties.co.za/,Yes,4.9,321,ChIJUwACiGB9aoMRlDKmsjmVUC8
Byron Thomas Properties,"29 Glamorgan Rd, Parkwood, Johannesburg, 2193, South Africa",065 941 0420,https://www.byronthomasproperties.co.za/,Yes,4.9,548,ChIJVQ9-xr4NlR4RWZt4Kw7lb7c
Crescent Real Estate,"29 Mercury St, Mayfair West, Randburg, 2092, South Africa",082 612 7211,http://www.crescentrealestate.co.za/,Yes,4.3,37,ChIJ2-WZysILlR4RWnmj5PXiV1I
Hendless Properties,"63A Roberts Ave, Kensington, Johannesburg, 2094, South Africa",011 618 9299,https://www.hendlessprop.co.za/,Yes,4.7,105,ChIJawjrfYkPlR4R_1rrFwz_abc
Law Real Estate,"11 Charmion Ave, Glenvista, Johannesburg South, 2091, South Africa",011 682 3865,http://www.lawrealestate.co.za/,Yes,4.2,76,ChIJfcdA2F0PlR4R0gs0K4fUQPo
Leadhome Properties,"Block A 1st Floor, Investment Place Office Park, 111 10th Rd, Hyde Park, Johannesburg, 2196, South Africa",010 590 3088,https://www.leadhome.co.za/?utm_source=search&utm_content=427,Yes,4.4,661,ChIJrWnoe5Z0lR4RVth7McXhXkE
Pam Golding Properties Johannesburg South,"Shop 9 Aspen Village Shopping Centre, 1 Aspen Lakes Dr, Aspen Hills Nature Estate, Johannesburg, 2059, South Africa",011 432 0303,https://www.pamgolding.co.za/real-estate/gauteng/johannesburg-south,Yes,4,9,ChIJfaGxSIYFlR4Rvloc2vZvk3M
Popular Real Estates,"Southgate, Johannesburg South, 2082, South Africa",,http://www.popularrealestates.co.za/,Yes,5,1,ChIJ4ZXSvVWplR4RETdILbPAVNw
Johannesburg Property Company (SOC) Ltd,"Braampark, Johannesburg, 2017, South Africa",010 219 9000,http://www.jhbproperty.co.za/,Yes,4,120,ChIJl_dVnVomaAER3QSOaInm0go
Rea7tor The Real Estate Company,"3rd Floor, Office 03, Cradock Square, 169 Oxford Rd, Rosebank, Sandton, 2196, South Africa",084 732 5867,https://www.rea7tor.co.za/,Yes,4.6,77,ChIJ04t0pcgMlR4ROnUfPbdLU5Y
Dragon Pride Realty,"11 Helston St, New Redruth, Johannesburg, 1459, South Africa",061 580 8871,https://dragonpriderealty.com/,Yes,4.6,62,ChIJu4ybiYEZlR4RORQ29Y6pXFc
RE/MAX Finally Home - Mondeor,"155 Columbine Ave, Mondeor, Johannesburg South, 2091, South Africa",011 022 5359,http://www.remax-finallyhome.co.za/,Yes,4.5,11,ChIJ___bdsAIlR4RXxypDmj-GzQ
3%.Com Properties,"34 6th St, Parkhurst, Randburg, 2193, South Africa",011 792 4360,http://www.threepercent.com/,Yes,4.7,208,ChIJW2wuKyF1lR4RatTQxzd6P4E
Snooks Estates,"43 Main Rd, Meredale, Johannesburg South, 2091, South Africa",011 942 5353,http://www.snooksestates.co.za/,Yes,3.5,16,ChIJY4w_QoOmlR4RSbb4hMgMHKo
ROYAL REALTY,"76 3rd Ave, Mayfair, Johannesburg, 2092, South Africa",083 775 9252,http://www.royalrealty.co.za/,Yes,3.8,19,ChIJi_64MUImaAERaV5HWdq_5tQ
Royal Real Estate,"192 Turf Club St, Turffontein, Johannesburg South, 2190, South Africa",011 434 4791,http://www.royalrealestate.co.za/,Yes,4.5,6,ChIJh9fLJh4PlR4RgezT4VvpLno
Lew Geffen Sotheby's International Realty,"366 Jan Smuts Ave, Craighall, Randburg, 2024, South Africa",011 886 8070,http://www.sothebysrealty.co.za/,Yes,4.4,30,ChIJa67ptK0MlR4RXrZV9uuswx4
Evolve Real Estate,"109 Seder St, Suideroord, Johannesburg, 2091, South Africa",081 726 8782,https://evolverealestate.co.za/,Yes,4.6,9,ChIJd8-JxeQPlR4RfrZNq1mnR4M
Orion Real Estate,"3rd Floor, Orion HQ, 26 Wellington Rd, Parktown, Johannesburg, 2193, South Africa",011 718 6452,http://www.oriongroup.co.za/,Yes,3.7,15,ChIJ__8DlhYMlR4RZKqGWuy5NGY
