name,address,phone,website,has_website,rating,total_reviews,place_id
Packaging & Stationery Distributors,"Crown Ext 4, Dorado Ave, Amalgam, Johannesburg, 2092, South Africa",011 839 1923,https://packagingstationery.co.za/,Yes,4.5,678,ChIJKVoXkwgmaAERJb-Ar1gg1oo
Stashy Distributors,"6 Clare Rd, Fordsburg, Johannesburg, 2033, South Africa",011 492 0033,http://www.stashy.co.za/,Yes,4.3,487,ChIJJUAwGKsOlR4Rw7zwpJxR6cs
BIOMED MEDICAL EQUIPMENT & SUPPLIES,"85B Mint Rd, Fordsburg, Johannesburg, 2092, South Africa",0888 86 81 14,,No,4.7,3,ChIJGf5BUwAMlR4RyxbvG84q0ys
Gauteng Medical Supplies Depot,"43 Serpentine Ave, Hurst Hill, Johannesburg, 2092, South Africa",011 628 9000,,No,4,6,ChIJ-cH3kbgLlR4RBOcW08mKfak
Joburg Hardware,"45, 47 Church St, Mayfair, Johannesburg, 2092, South Africa",011 830 1236,,No,4.6,41,ChIJn1c1RWsmaAERx8WQHL-Zt9M
CHEMOSOL (Pty) Ltd,"22 Trump St, Selby, Johannesburg, 2001, South Africa",011 058 3500,http://www.chemosol.co.za/?utm_source=GMBlisting&utm_medium=organic,Yes,4.4,110,ChIJYSYmVLwOlR4R6mLiOBdJ2dQ
Branded Supplies,"73 Ormonde Dr, Mondeor, Johannesburg South, 2091, South Africa",010 880 8985,http://www.brandedsupplies.co.za/,Yes,4.6,98,ChIJe9bQWrsTlR4R0l2vRjJn0T4
Mondeor Homebake Supplies,"253 Corner Royal Park and, Frandaph Dr, Mondeor, Johannesburg, 2091, South Africa",011 433 3880,http://www.mondeorhomebake.co.za/,Yes,4.3,646,ChIJ30eJ27AIlR4REet55s5WNLA
ZELWA MEDICAL SUPPLIES,"shop 6, Corner Fox Trust, 210 Commissioner St, City and Suburban, Johannesburg, 1700, South Africa",084 023 0745,,No,5,2,ChIJX-O-6zIPlR4RRWquALqcDrE
Medical Supplies,"First Floor Office 102, Houghton Estate, Johannesburg, 2193, South Africa",084 354 2052,,No,,,ChIJD_YsF_INlR4RCH9CPXmzcJk
UBS New Doornfontein (Unlimited Building Supplies SA),"76 Siemert Rd, New Doornfontein, Johannesburg, 2094, South Africa",011 402 9113,http://www.ubssa.co.za/,Yes,4.4,112,ChIJwSZrWYIOlR4RFsUpklgWKUo
Afrimedics (Medical Equipment),"120 Athol St, Highlands North, Johannesburg, 2192, South Africa",011 026 0523,https://afrimedics.co.za/,Yes,2.7,45,ChIJyUbAbAsNlR4RRAN9Xw9VVEk
Absto Industrial Supplies Johannesburg,"Unit 4, Grand Prix Park Silverstone Street &, Van Riebeeck Road, Gosforth Business Park, Germiston, 1419, South Africa",011 613 2103,http://www.absto.co.za/,Yes,5,2,ChIJ5X-rw1gOlR4RK2kmn0JRPh8
Townsend Factory Supplies,"6 Andesiet Rd, Amalgam, Johannesburg, 2092, South Africa",011 837 6124,http://factorysupplies.co.za/,Yes,4.8,16,ChIJKWdx0lsJlR4R_MLAhqZd5lk
Stadex Stationery,"16-18 Mahlathini St, Newtown, Johannesburg, 2001, South Africa",,http://www.stadex.co.za/,Yes,4.6,35,ChIJjT76tqkOlR4RvTarx2c3qwA
Sollys Packaging & Stationery Distributors C C,"6 Planet Ave, Crown, AMALGAM, 2092, South Africa",011 839 1923,,No,4.4,53,ChIJo9Oju10JlR4R7Br5gj9nyy0
Johannesburg Bearing Supplies,"62 Rosettenville Rd, New Centre, Johannesburg, 2000, South Africa",011 493 3220,http://bearing.co.za/,Yes,4.6,13,ChIJ4eWMc5MOlR4Ryg6dVnx9LTE
Medimore Medical Supplies,"13 Shakespeare Ave, Ridgeway, Johannesburg, 2091, South Africa",074 803 7223,http://www.medimore.co.za/,Yes,4.9,9,ChIJr1kSzxcJlR4RCQmeZdgxyog
Lee Wholesalers,"33 Ntemi Piliso St, Ferreiras Dorp, Johannesburg, 2001, South Africa",011 838 1244,,No,4.5,77,ChIJz3AaGqQOlR4RjsaW9nr_eU8
Supply King Uniform,"24 Market St, Johannesburg, 2000, South Africa",072 227 4446,,No,4.1,9,ChIJTxy2A9gPlR4R6W40tTCWXCI
