city,area,industry,name,phone,website,has_website,rating,review_count,address,place_id,pipeline_stage,fake_tier,http_status,redirect_url,response_ms,has_ssl,priority_score
Jacksonville,San Marco Jacksonville FL,Electricians,Munson & Bryan Electric Co Inc,(904) 396-6689,,No,3.7,32,"3434 St Augustine Rd, Jacksonville, FL 32207, USA",ChIJvx0ffUy25YgRPgMZjtOkIxI,no_website,,,,,False,100
Jacksonville,San Marco Jacksonville FL,Remodelers,HOME RENOVATIONS JAX LLC,(904) 566-1941,https://sites.google.com/view/homerenovationsjax/home,Yes,5,133,"13163 Ranch Rd #3307, Jacksonville, FL 32218, USA",ChIJ-_VZDSW35YgRSidhZ2W4rbU,fake_B,B,,,,True,100
Jacksonville,Riverside Jacksonville FL,Landscapers,Heroic Landscapes,(904) 303-6819,,No,5,47,"718 Monte Carlo Rd, Jacksonville, FL 32216, USA",ChIJs6CJU7O15YgR08T9rXGtSzs,no_website,,,,,False,100
Jacksonville,Riverside Jacksonville FL,Accountants,The Tax Office,(904) 577-0086,,No,5,139,"6817 Southpoint Pkwy Ste 1601, Jacksonville, FL 32216, USA",ChIJySqwOwm15YgR_f2trcaPxDo,no_website,,,,,False,100
Jacksonville,Mandarin Jacksonville FL,Plumbers,ROOTER EXPRESS OF JAX LLC,(904) 909-1763,,No,5,132,"11648 Pine Acres Rd, Jacksonville, FL 32223, USA",ChIJa3S5Gy3P5YgRsq9wnWAkYdM,no_website,,,,,False,100
Jacksonville,Mandarin Jacksonville FL,Landscapers,Jungle Life Landscape LLC,(904) 423-6024,,No,4.6,50,"11547 Sedgemoore Dr E, Jacksonville, FL 32223, USA",ChIJVVXFec7O5YgRdG7-VUETbbA,no_website,,,,,False,100
Jacksonville,Mandarin Jacksonville FL,Landscapers,Millers Irrigation Services LLC,(904) 236-7976,,No,5,113,"12748 Fernbank Ln, Jacksonville, FL 32223, USA",ChIJ6QlXV-XP5YgREM3vhq7hy-M,no_website,,,,,False,100
Jacksonville,St. Johns Town Center Jacksonville FL,Plumbers,Stevenson plumbing,(904) 762-6830,,No,5,38,"6834 Brandemere Rd S, Jacksonville, FL 32211, USA",ChIJ4eYd-eWOBGER2xWy3ECggfk,no_website,,,,,False,100
Jacksonville,St. Johns Town Center Jacksonville FL,Electricians,Stuart Jones Electric Inc,(904) 786-0111,,No,4.4,25,"2231 Corporate Square Blvd #3, Jacksonville, FL 32216, USA",ChIJ44Ja-cK45YgR1tRDR_s-vGk,no_website,,,,,False,100
Jacksonville,Avondale Jacksonville FL,Landscapers,Peachtree Outdoor Services LLC,(570) 202-6524,,No,3.7,23,"1235 Challen Ave, Jacksonville, FL 32205, USA",ChIJaXunpTW45YgRiWrBJEOws-w,no_website,,,,,False,100
Jacksonville,Avondale Jacksonville FL,Remodelers,Everett’s Custom Renovations LLc,(904) 418-3571,,No,4.7,26,"7881 Steamboat Springs Ct, Jacksonville, FL 32210, USA",ChIJc8s27PDH5YgRni4IYdnvBgU,no_website,,,,,False,100
Jacksonville,Springfield Jacksonville FL,Cleaning companies,"Phoenix Deluxe Cleaning, LLC",(904) 397-5353,,No,4.8,21,"50 N Laura St Suite 2500, Jacksonville, FL 32202, USA",ChIJMaFjEBe35YgRtrfXmMg0Bfo,no_website,,,,,False,100
Jacksonville,Springfield Jacksonville FL,Roofers,"Alton Roofing Services, LLC",(904) 235-5224,,No,4.7,69,"5352 Hwy Ave, Jacksonville, FL 32254, USA",ChIJCQEqC9C55YgROupuz8aLhBc,no_website,,,,,False,100
Jacksonville,Oceanway Jacksonville FL,Landscapers,Living Branches Lawn and Landscapes,(904) 401-1148,,No,5,25,"12094 Chester Creek Rd, Jacksonville, FL 32218, USA",ChIJR00d8BSh5YgRKEpP6PqxvUU,no_website,,,,,False,100
Jacksonville,Fleming Island FL,Plumbers,Harry H Hill Plumbing Inc,(904) 389-1909,,No,5,74,"12 Widener Way, Orange Park, FL 32073, USA",ChIJ50NpPuTF5YgRR30Zlam_lLU,no_website,,,,,False,100
Jacksonville,Fleming Island FL,Pest control,Mantis Lawn & Pest Control Inc,(904) 925-6949,,No,4.4,20,"3136 Moody Ave, Orange Park, FL 32065, USA",ChIJ-2tDrkLE5YgRqbz0C8Jnvrs,no_website,,,,,False,100
Jacksonville,Baymeadows Jacksonville FL,Electricians,Spower solutions corporation,(857) 417-3952,,No,5,32,"9506 Hood Rd Unit 4, Jacksonville, FL 32257, USA",ChIJbyxzpJgSIS8RAM20iq9paCo,no_website,,,,,False,100
Jacksonville,Baymeadows Jacksonville FL,Electricians,Master Electric Llc,(844) 642-0095,,No,3.8,32,"7447 Salisbury Rd, Jacksonville, FL 32256, USA",ChIJycLRK2vK5YgRX1oBZzTt4bA,no_website,,,,,False,100
Jacksonville,Arlington Jacksonville FL,Electricians,B & C Electric Inc,(561) 771-6455,,No,4.6,28,"N/A, Jacksonville, FL 32235, USA",ChIJ-eRa7EO25YgRYdCc_r96GP0,no_website,,,,,False,100
Jacksonville,Arlington Jacksonville FL,Electricians,Arlington Auto Electric,(904) 743-3900,,No,4.4,23,"5949 Arlington Rd, Jacksonville, FL 32211, USA",ChIJhRnMX-e15YgRVUHXHqlvfCU,no_website,,,,,False,100
