name,address,phone,website,has_website,rating,total_reviews,place_id,ssl,load_time_s,mobile_responsive,copyright_year,has_contact,technical_score,visual_score,combined_score,needs_revamp,issues,ai_summary,screenshot,error
Pravoma Dental Clinic SANDTON,"Cnr. Kelvin Drive and, Morning Glen Mall, Bowling Ave, Morningside, Sandton, 2196, South Africa",010 205 9455,https://www.pravomadental.co.za/,Yes,4.8,28,ChIJYRPMFylzlR4Rbrfz4FE2gwo,Yes,,No,,No,0,0,0,No,,,,"Page.goto: Timeout 15000ms exceeded.
Call log:
  - navigating to ""https://www.pravomadental.co.za/"", waiting until ""domcontentloaded""
"
Dr Zunaid Solomon,"Block D, Rochester Place, 173 Rivonia Rd, Morningside, Sandton, 2057, South Africa",061 504 5088,,No,4.9,97,ChIJ_16K_CRzlR4Ru9DQTqoxCG4,,,,,,0,0,0,Yes,No website at all,No website — highest priority lead,,
Sandton Dentist - Dr Albert Van Der Walt,"Block D, 1st Floor, Rochester Place, 173 Rivonia Rd, Morningside, Sandton, 2057, South Africa",011 783 5511,http://www.sandton-dentist.co.za/,Yes,5,22,ChIJk78t1CRzlR4RrTQ65lcEpS4,No,0.72,Yes,2012,Yes,6,4,5.0,Yes,No SSL (site shows as 'Not Secure' to visitors) | Copyright year 2012 — site is 14 years old,"The overall design appears outdated, mainly due to the use of gradients and low-resolution images.",screenshots/sandton-dentist.co.za.png,
Sandton Dental Clinic - Dr's Peer,"Suite 120 Medical Mews Sandton City Sandton Banking Mall Sandton City opposite Standard Bank CNR 5th & Rivonia Sandton, Sandhurst, Sandton, 2146, South Africa",011 783 4575,http://www.sandtondentalclinic.co.za/,Yes,4.6,163,ChIJZ428LS1zlR4R3G9vcOsALSM,No,8.27,Yes,,Yes,7,5,6.0,Yes,No SSL (site shows as 'Not Secure' to visitors) | Slow load time (8.3s),The design looks somewhat outdated and lacks a cohesive color scheme.,screenshots/sandtondentalclinic.co.za.png,
Dr Riaz Wadvalla,"Sandton City Shopping Centre Medical Mews Suite 105, Corner Rivonia and Fifth street, Sandton, Johannesburg, 2196, South Africa",011 783 7168,http://sandtoncitydentist.co.za/,Yes,4.2,46,ChIJSVL9ci1zlR4RlbeHFQSB6iY,No,1.57,Yes,2026,Yes,7,5,6.0,Yes,No SSL (site shows as 'Not Secure' to visitors) | Missing SEO meta tags (title/description),"The design appears somewhat outdated, with a basic layout and inconsistent typography.",screenshots/sandtoncitydentist.co.za.png,
Dr. Suveer Singh,"93 Maude St, Sandown, Sandton, 2196, South Africa",011 783 7367,http://www.drsinghinc.co.za/,Yes,4.3,25,ChIJexJari5zlR4RY0LpzatATyE,No,3.09,Yes,2021,Yes,6,6,6.0,Yes,No SSL (site shows as 'Not Secure' to visitors) | Copyright year 2021 — site is 5 years old,"The design is clean but somewhat outdated, lacking modern design elements like minimalism and interactive features.",screenshots/drsinghinc.co.za.png,
Smiles Family Dentist Bryanston - Dr. J & A Khoosal,"3 Nursery Ln, Bryanston, Sandton, 2191, South Africa",011 706 7700,http://smilesfamilydentist.co.za/,Yes,4.9,227,ChIJ3afGTIF0lR4R9vi0ocsd9B4,No,0.39,Yes,2016,Yes,6,6,6.0,Yes,No SSL (site shows as 'Not Secure' to visitors) | Copyright year 2016 — site is 10 years old,The site has an outdated aesthetic with an old-fashioned font and color scheme.,screenshots/smilesfamilydentist.co.za.png,
Sandton Dental Studio-Dr Wynand van der Merwe,"Unit 6, Upper Level, Grayston Shopping Centre Corner Grayston Drive And, Helen Rd, Strathavon, Sandton, 2196, South Africa",011 326 5153,http://www.sandtondental.co.za/,Yes,4.8,98,ChIJXQx9PdZylR4RnXIjc9anrT0,No,4.51,Yes,2023,Yes,7,6,6.5,Yes,No SSL (site shows as 'Not Secure' to visitors) | Copyright year 2023 — possibly outdated,The design feels somewhat outdated with generic stock imagery and a cluttered layout.,screenshots/sandtondental.co.za.png,
"Aplus Dentistry @THE MARC,SANDTON","shop 07, Upper retail, 129 Rivonia Rd, Sandown, Sandton, 2196, South Africa",010 443 6012,http://www.aplusdentistry.co.za/,Yes,4.7,89,ChIJyaB9BYRzlR4Rc9SMbN4bgv4,No,3.1,Yes,2026,Yes,7,6,6.5,Yes,No SSL (site shows as 'Not Secure' to visitors) | Missing SEO meta tags (title/description),The design appears somewhat outdated with a cluttered layout.,screenshots/aplusdentistry.co.za.png,
Intercare Sandton,"MediMix at 200 Rivonia, 200 Rivonia Rd, Morningside, Sandton, 2057, South Africa",010 880 1500,https://www.intercare.co.za/facilities/intercare-sandton,Yes,3.6,77,ChIJ4eth4JxzlR4RKQNUFUloDI4,Yes,0.94,Yes,2019,Yes,8,6,7.0,Yes,Copyright year 2019 — site is 7 years old,The design is clean but looks slightly outdated with minimal visual elements.,screenshots/intercare.co.za.png,
