city,area,industry,name,phone,website,has_website,rating,review_count,address,place_id,pipeline_stage,fake_tier,http_status,redirect_url,response_ms,has_ssl,priority_score,tech_score,tech_issues
Jacksonville,Riverside Jacksonville FL,Accountants,Daysi Jacobson,(904) 285-1040,https://daysijacobson.com/,Yes,5,250,"818 A1A N Suite 304, Ponte Vedra Beach, FL 32082, USA",ChIJLefG9Mk35IgRt0YeXNOkI3g,weak_site,,200,,2361,True,85.0,3,Fetch Failed (Timeout/Blocked)
Jacksonville,Riverside Jacksonville FL,HVAC companies,"Chills On Wheels Heating & Air Contractors, Inc.",(904) 820-3500,https://chillsonwheels.com/?utm_source=google&utm_medium=organic&utm_campaign=gbpcassat,Yes,4.9,499,"5011 Gate Pkwy Bldg 100, Suite 100, Jacksonville, FL 32256, USA",ChIJcdad9ke_5YgRchjkY-9-FFI,weak_site,,200,https://www.chillsonwheels.com/?utm_source=google&utm_medium=organic&utm_campaign=gbpcassat,4261,True,85.0,3,Fetch Failed (Timeout/Blocked)
Jacksonville,Riverside Jacksonville FL,Remodelers,Renuity Home Improvement of Jacksonville,(904) 914-9331,https://renuityhome.com/florida/jacksonville-fl/?utm_source=gmb&utm_medium=Yext&y_source=1_NjY1MDE4ODYtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,Yes,4.7,569,"13291 Vantage Way Suite 105, Jacksonville, FL 32218, USA",ChIJ-dcizDm15YgRuqFcB0-NTnQ,weak_site,,200,,270,True,85.0,3,Fetch Failed (Timeout/Blocked)
Jacksonville,Riverside Jacksonville FL,Remodelers,Kitchen Design Gallery,(904) 721-0310,http://www.kdgjax.com/?utm_source=omg-gbp&utm_medium=webclick,Yes,5,161,"6340 Beach Blvd, Jacksonville, FL 32216, USA",ChIJ6Sv1HTO15YgRX-In4rytXCc,weak_site,,200,https://kdgjax.com/?utm_source=omg-gbp&utm_medium=webclick,4667,False,85.0,3,Fetch Failed (Timeout/Blocked)
Jacksonville,Mandarin Jacksonville FL,Plumbers,PV Plumbing,(904) 392-7967,https://pvplumbingservices.com/?utm_source=google&utm_medium=gbp,Yes,4.9,805,"146 Pienza Ave, Ponte Vedra Beach, FL 32081, USA",ChIJx3BhciQPfkgRsRe5Y3GAlq0,weak_site,,202,,1805,True,85.0,3,Fetch Failed (Timeout/Blocked)
Jacksonville,Mandarin Jacksonville FL,Accountants,Our Bookkeepers Inc,(904) 425-1238,http://www.ourbookkeepers.com/,Yes,5,429,"13500 Beach Blvd #45, Jacksonville, FL 32224, USA",ChIJkc_Dym3J5YgRrFEPQ6vUQJM,weak_site,,200,https://www.ourbookkeepers.com/,2318,False,85.0,3,Fetch Failed (Timeout/Blocked)
Jacksonville,Mandarin Jacksonville FL,Pest control,Quick Catch,(904) 859-6585,https://quick-catch.com/,Yes,4.8,502,"12627 San Jose Blvd STE 206, Jacksonville, FL 32223, USA",ChIJL8umg-7O5YgRpvJTO1ywGLc,weak_site,,200,,1618,True,85.0,3,Fetch Failed (Timeout/Blocked)
Jacksonville,Mandarin Jacksonville FL,Roofers,Elo Roofing,(904) 822-9630,https://eloroofing.com/?utm_source=google&utm_medium=gbp-jax,Yes,4.8,1144,"3415 Kori Rd, Jacksonville, FL 32257, USA",ChIJQ5PR13_J5YgRtOFSJMZNrQk,weak_site,,200,,1325,True,85.0,3,Fetch Failed (Timeout/Blocked)
Jacksonville,Mandarin Jacksonville FL,Roofers,Universal Roof & Contracting,(904) 274-6858,https://www.universalroof.com/?utm_source=googleBusinessProfile&utm_medium=Web&utm_campaign=JacksonvilleFL,Yes,4.8,193,"9446 Philips Hwy Suite 7, Jacksonville, FL 32256, USA",ChIJX1jLQLXL5YgRLoDKLvtgimU,weak_site,,202,,1854,True,85.0,3,Fetch Failed (Timeout/Blocked)
Jacksonville,Mandarin Jacksonville FL,HVAC companies,Von's,(904) 977-3530,https://vonsheatingandair.com/jacksonville/?utm_source=gbp,Yes,4.9,209,"12276 San Jose Blvd #307-B, Jacksonville, FL 32223, USA",ChIJAcqjoUs35IgRYwCq21Os-VA,weak_site,,200,https://www.vonsheatingandair.com/jacksonville/?utm_source=gbp,3221,True,85.0,3,Fetch Failed (Timeout/Blocked)
Jacksonville,Mandarin Jacksonville FL,HVAC companies,Comfort Zone of North Florida,(904) 659-8701,https://comfortzoneofnf.com/,Yes,4.8,900,"14476 Duval Pl W #801, Jacksonville, FL 32218, USA",ChIJlbCxC4nc5YgRqzTUeZ_0HHI,weak_site,,200,,1316,True,85.0,3,Fetch Failed (Timeout/Blocked)
Jacksonville,Mandarin Jacksonville FL,Remodelers,Quality Craftsmen,(904) 900-2088,http://www.quality-craftsmen.com/,Yes,4.8,268,"9774 Florida Mining Blvd W #806-808, Jacksonville, FL 32257, USA",ChIJV_rBKJnw84sRoAfcqNhz_T0,weak_site,,200,https://www.quality-craftsmen.com/,2790,False,85.0,3,Fetch Failed (Timeout/Blocked)
Jacksonville,St. Johns Town Center Jacksonville FL,Plumbers,Local Plumber of Jacksonville,(904) 222-7667,https://local-plumber.com/,Yes,4.9,205,"10713 Gelding Dr, Jacksonville, FL 32257, USA",ChIJ2Xh0w9vN5YgRTzO2m1d3Tp8,weak_site,,200,,2785,True,85.0,3,Fetch Failed (Timeout/Blocked)
Jacksonville,St. Johns Town Center Jacksonville FL,Plumbers,Presto Plumbing & Septic Tank Pumping,(904) 944-4644,https://www.prestoplumbingjax.com/,Yes,4.8,574,"6509 Trade Center Dr, Jacksonville, FL 32254, USA",ChIJRx7xfwzH5YgRKhcA0RnEtII,weak_site,,200,,1492,True,85.0,3,Fetch Failed (Timeout/Blocked)
Jacksonville,St. Johns Town Center Jacksonville FL,Electricians,Neo Electric,(904) 678-8000,https://neoelectric.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp-listing,Yes,5,231,"105 Venetian Blvd suite d, St. Augustine, FL 32095, USA",ChIJ3T9x9Pcv5IgRGQraDOJCdlA,weak_site,,200,,1984,True,85.0,3,Fetch Failed (Timeout/Blocked)
Jacksonville,Fleming Island FL,HVAC companies,Global Warming and Cooling LLC,(904) 267-0101,https://gwchvac.com/,Yes,4.9,341,"2022 Carnes St Unit 3, Orange Park, FL 32073, USA",ChIJv2yKXkvF5YgREKRPyvtCpp8,weak_site,,200,,2647,True,85.0,3,Fetch Failed (Timeout/Blocked)
Orlando,MetroWest Orlando FL,Accountants,Tax Direct Accounting Services,(407) 203-1212,http://www.taxdirectflorida.com/,Yes,4.9,160,"5787 Vineland Rd Suite 205, Orlando, FL 32819, USA",ChIJicQ5KsV-54gRaa0lwwc32L8,weak_site,,200,,547,False,85.0,3,No SSL | Not Mobile Friendly (No Viewport) | Missing Title Tag | No Contact Info Found
Orlando,Windermere FL,Roofers,Roof Pros USA,(407) 831-7663,http://www.roofprosusa.com/,Yes,4.8,135,"794 Big Tree Dr #108, Longwood, FL 32750, USA",ChIJ1_EPRnlt54gRld6RWNdSEIY,weak_site,,200,https://www.roofprosusa.com/,1224,False,85.0,3,Fetch Failed (Timeout/Blocked)
Orlando,Winter Garden FL,Roofers,Davis Roofing & Restoration,(407) 759-5729,http://www.davisroofingandrestoration.com/,Yes,5,107,"1446 9th St, Winter Garden, FL 34787, USA",ChIJpbZSGOaD54gRlW9nDGv39zk,weak_site,,200,https://davisroofingandrestoration.com/,268,False,85.0,3,Fetch Failed (Timeout/Blocked)
Fort Lauderdale,Lauderdale-by-the-Sea FL,HVAC companies,Edd Helms Electric & Air Conditioning,(800) 329-2520,https://www.eddhelms.com/,Yes,4.8,429,"740 International Pkwy, Sunrise, FL 33325, USA",ChIJq6qqqt6r2YgR03t6ygMr1Yg,weak_site,,200,,1248,True,85.0,3,Fetch Failed (Timeout/Blocked)
Fort Lauderdale,Deerfield Beach FL,Electricians,Emerald Isle Electric,(561) 303-5475,https://isleelectric.com/?utm_source=gbp&utm_medium=organic,Yes,4.9,134,"1642 SE 7th St, Deerfield Beach, FL 33441, USA",ChIJOWnaBUTj2IgRHyaWpfmGjL0,weak_site,,200,,990,True,85.0,3,Fetch Failed (Timeout/Blocked)
