filename,decision,website
1roofllc_com.png,REJECTED,1roofllc.com
1tomplumber_com_jacksonville.png,REJECTED,1tomplumber.com.jacksonville
904electric_com.png,REJECTED,904electric.com
904remodeling_com.png,REJECTED,904remodeling.com
abrcflorida_com.png,REJECTED,abrcflorida.com
accountingone_co.png,LEAD,accountingone.co
acdesignsinc_net__utm_source_gbp_utm_medium_organi.png,REJECTED,acdesignsinc.net..utm.source.gbp.utm.medium.organi
action_roofing_com.png,REJECTED,action.roofing.com
adeledesignerhomes_com.png,REJECTED,adeledesignerhomes.com
advancedwiringservices_com.png,LEAD,advancedwiringservices.com
airadvicellc_com.png,REJECTED,airadvicellc.com
airbyestes_com__utm_source_google_utm_medium_organ.png,LEAD,airbyestes.com..utm.source.google.utm.medium.organ
airpesttechs_com.png,LEAD,airpesttechs.com
ajwellsroofing_com.png,REJECTED,ajwellsroofing.com
allcleaningjax_com.png,REJECTED,allcleaningjax.com
allinescleaning_com.png,REJECTED,allinescleaning.com
allseasonsjax_com.png,REJECTED,allseasonsjax.com
alluneedpest_com.png,REJECTED,alluneedpest.com
alphaelectricpv_com.png,LEAD,alphaelectricpv.com
alsplumbingjax_com.png,REJECTED,alsplumbingjax.com
amarropest_com.png,LEAD,amarropest.com
amenitypool_com_locations_jacksonville_fl.png,REJECTED,amenitypool.com.locations.jacksonville.fl
americanelectricofjacksonville_com.png,REJECTED,americanelectricofjacksonville.com
american_electrical_com.png,REJECTED,american.electrical.com
amhandyjax_com.png,REJECTED,amhandyjax.com
andservices_com_locations_jacksonville.png,REJECTED,andservices.com.locations.jacksonville
anniescleaningfl_com.png,REJECTED,anniescleaningfl.com
apadvanced_com__utm_source_google_utm_medium_organ.png,REJECTED,apadvanced.com..utm.source.google.utm.medium.organ
aptivepestcontrol_com_locations_florida_fl_jackson.png,REJECTED,aptivepestcontrol.com.locations.florida.fl.jackson
armorroofingcojax_com.png,LEAD,armorroofingcojax.com
asejax_com.png,REJECTED,asejax.com
atomelectric_org.png,LEAD,atomelectric.org
avenueroofing_com__utm_campaign_gmb.png,REJECTED,avenueroofing.com..utm.campaign.gmb
avery_accounting_com.png,REJECTED,avery.accounting.com
avondalewealthadvisors_com.png,REJECTED,avondalewealthadvisors.com
baldwinroofing_com.png,REJECTED,baldwinroofing.com
basspools_com.png,LEAD,basspools.com
bathplanetjacksonville_com.png,REJECTED,bathplanetjacksonville.com
beachcpafirm_com.png,REJECTED,beachcpafirm.com
beacheselectricalserviceinc_com.png,REJECTED,beacheselectricalserviceinc.com
beastmodelawncare_com.png,LEAD,beastmodelawncare.com
beautifulbloomslandscaping_com.png,REJECTED,beautifulbloomslandscaping.com
beautifulpoolsjax_net.png,REJECTED,beautifulpoolsjax.net
beclean_io.png,REJECTED,beclean.io
beetreehomes_com.png,REJECTED,beetreehomes.com
belamaids_com.png,REJECTED,belamaids.com
bennettlc_com.png,REJECTED,bennettlc.com
bestroofjax_com__utm_source_google_utm_medium_orga.png,REJECTED,bestroofjax.com..utm.source.google.utm.medium.orga
betrosplumbing_com.png,REJECTED,betrosplumbing.com
bgconstructionservices_com.png,REJECTED,bgconstructionservices.com
bigfootroofing_com__utm_source_google_utm_medium_o.png,REJECTED,bigfootroofing.com..utm.source.google.utm.medium.o
blackcpajax_com.png,REJECTED,blackcpajax.com
bluescience_com_swimming_pool_service_jacksonville.png,REJECTED,bluescience.com.swimming.pool.service.jacksonville
bluewavebuilders_com__utm_source_google_utm_medium.png,REJECTED,bluewavebuilders.com..utm.source.google.utm.medium
boldcityac_com.png,REJECTED,boldcityac.com
